year,zipcode,com_permit_count,res_permit_count,count_assault_crime,count_criminal_activity_crime,count_identity_theft_crime,count_narcotics_crime,count_public_intoxication_crime,count_runaway_child_crime,count_theft_crime,count_warrent_arrest_crime,sq_mile_area
2011,78617,78,407,66,278,12,32,17,32,184,46,90.73631642
2012,78617,122,855,83,271,9,29,22,32,183,33,90.73631642
2013,78617,164,854,65,254,5,17,16,25,222,20,90.73631642
2014,78617,66,695,66,227,6,23,29,34,186,26,90.73631642
2015,78617,109,703,79,280,9,21,26,63,179,16,90.73631642
2016,78617,152,931,55,211,4,20,18,45,186,12,90.73631642
2017,78617,91,433,88,307,8,23,14,28,146,16,90.73631642
2018,78617,186,529,86,242,7,34,16,10,132,11,90.73631642
2019,78617,321,547,72,192,5,31,15,37,108,10,90.73631642
2011,78653,8,4,5,28,4,2,2,1,22,4,148.9171226
2012,78653,5,4,3,22,4,0,5,1,26,3,148.9171226
2013,78653,29,6,5,16,3,2,4,1,17,1,148.9171226
2014,78653,1,12,8,30,0,1,4,2,13,1,148.9171226
2015,78653,9,95,3,34,0,0,5,1,13,1,148.9171226
2016,78653,33,609,3,33,1,2,6,4,27,3,148.9171226
2017,78653,13,615,10,24,2,2,4,2,25,0,148.9171226
2018,78653,38,1242,7,23,1,2,7,2,35,0,148.9171226
2019,78653,19,2277,4,27,3,3,1,10,50,0,148.9171226
2011,78660,70,233,14,29,2,2,19,1,66,20,58.74747662
2012,78660,113,72,19,36,1,6,14,1,67,5,58.74747662
2013,78660,221,291,15,29,1,9,19,2,72,5,58.74747662
2014,78660,91,296,17,55,3,8,23,1,70,10,58.74747662
2015,78660,233,335,8,41,2,21,18,0,47,6,58.74747662
2016,78660,277,1262,12,45,1,8,16,1,99,9,58.74747662
2017,78660,228,2009,30,47,2,13,17,3,112,7,58.74747662
2018,78660,332,2133,30,80,3,13,10,3,151,7,58.74747662
2019,78660,359,2924,49,158,4,14,16,10,169,3,58.74747662
2011,78701,1372,55,523,732,40,399,1583,4,1283,719,2.29528797
2012,78701,1725,72,629,705,29,426,1148,3,1241,677,2.29528797
2013,78701,2128,62,597,664,29,434,1121,2,1216,672,2.29528797
2014,78701,2182,51,526,663,28,374,1052,3,1073,817,2.29528797
2015,78701,2137,43,586,696,36,338,867,6,1114,719,2.29528797
2016,78701,1945,38,520,754,28,355,783,6,1016,457,2.29528797
2017,78701,2003,27,587,747,39,831,666,8,953,354,2.29528797
2018,78701,2000,55,563,832,26,431,528,5,1026,176,2.29528797
2019,78701,2307,47,710,906,30,420,507,7,1206,122,2.29528797
2011,78702,520,1286,371,1129,36,752,356,85,1390,645,6.878771615
2012,78702,615,1319,411,1143,47,621,401,76,1316,587,6.878771615
2013,78702,649,1723,342,1006,33,588,381,62,1301,461,6.878771615
2014,78702,644,2057,313,1036,28,512,261,92,1285,460,6.878771615
2015,78702,961,2017,311,894,48,344,219,70,965,338,6.878771615
2016,78702,699,2472,286,912,32,375,184,77,873,275,6.878771615
2017,78702,667,2470,311,908,27,416,156,47,882,163,6.878771615
2018,78702,753,2443,266,860,18,271,129,41,985,108,6.878771615
2019,78702,1139,2253,298,814,28,234,111,41,997,86,6.878771615
2011,78703,418,2051,48,286,22,38,324,5,632,75,7.097546556
2012,78703,554,2107,51,266,24,26,358,9,618,42,7.097546556
2013,78703,449,2080,54,198,19,35,257,5,533,44,7.097546556
2014,78703,378,2172,29,243,31,92,297,12,431,46,7.097546556
2015,78703,346,2291,40,178,53,142,268,5,526,35,7.097546556
2016,78703,374,2017,45,203,45,116,206,3,427,25,7.097546556
2017,78703,417,1920,43,185,26,48,216,3,425,30,7.097546556
2018,78703,395,1959,46,197,28,40,181,4,477,18,7.097546556
2019,78703,396,2078,59,200,29,15,119,8,380,13,7.097546556
2011,78704,1359,2238,344,1323,50,257,667,515,2127,415,11.51306417
2012,78704,1541,2227,378,1233,59,217,587,671,2119,284,11.51306417
2013,78704,1532,2518,330,1162,40,211,601,660,2061,249,11.51306417
2014,78704,1311,2818,283,1093,50,217,499,483,1684,180,11.51306417
2015,78704,1339,3089,315,1167,79,182,401,668,1611,170,11.51306417
2016,78704,1118,3104,288,1142,80,189,417,427,1566,147,11.51306417
2017,78704,934,3300,288,1162,60,217,364,350,1515,137,11.51306417
2018,78704,1050,3150,309,1024,53,175,303,336,1550,53,11.51306417
2019,78704,1173,3395,257,1012,77,136,229,260,1691,59,11.51306417
2011,78705,693,419,143,501,20,92,191,3,669,169,2.678492317
2012,78705,917,400,122,444,14,80,161,2,626,141,2.678492317
2013,78705,893,321,123,355,7,68,148,1,604,86,2.678492317
2014,78705,674,369,117,354,12,47,143,4,494,85,2.678492317
2015,78705,747,361,124,407,28,44,109,2,625,104,2.678492317
2016,78705,595,394,76,370,10,48,96,4,525,74,2.678492317
2017,78705,814,314,124,299,10,55,114,4,375,58,2.678492317
2018,78705,607,349,99,305,9,61,72,5,405,23,2.678492317
2019,78705,865,403,115,316,12,29,50,1,547,21,2.678492317
2011,78717,233,541,40,168,8,11,28,5,175,22,15.97528126
2012,78717,387,751,33,157,15,11,39,4,163,18,15.97528126
2013,78717,578,1391,42,165,16,14,44,9,169,16,15.97528126
2014,78717,439,1583,42,163,10,8,22,4,163,11,15.97528126
2015,78717,304,1738,35,162,30,21,42,4,159,6,15.97528126
2016,78717,217,2110,42,207,31,21,27,11,196,16,15.97528126
2017,78717,213,2674,41,225,24,27,31,6,222,11,15.97528126
2018,78717,312,1882,54,213,17,21,27,7,209,3,15.97528126
2019,78717,361,2016,42,229,21,8,22,4,221,3,15.97528126
2011,78719,87,0,10,27,1,18,29,1,104,87,27.62119155
2012,78719,70,1,22,35,1,24,46,0,104,84,27.62119155
2013,78719,94,8,10,42,0,34,41,0,88,74,27.62119155
2014,78719,127,2,14,48,0,10,39,0,81,56,27.62119155
2015,78719,270,5,13,55,1,20,43,0,128,48,27.62119155
2016,78719,88,7,12,55,2,37,35,2,118,45,27.62119155
2017,78719,114,4,17,51,1,44,27,2,116,34,27.62119155
2018,78719,166,2,31,64,0,31,32,0,133,17,27.62119155
2019,78719,170,5,25,49,4,27,14,0,132,12,27.62119155
2011,78721,123,463,194,656,25,119,69,82,409,137,4.875594181
2012,78721,120,478,172,595,22,183,63,47,422,145,4.875594181
2013,78721,68,567,188,526,22,255,75,43,482,152,4.875594181
2014,78721,107,720,161,498,15,171,64,50,406,145,4.875594181
2015,78721,93,764,134,484,18,126,44,45,284,91,4.875594181
2016,78721,127,765,145,481,10,145,46,50,268,72,4.875594181
2017,78721,319,1075,124,395,14,187,60,24,243,57,4.875594181
2018,78721,259,1189,119,349,10,132,45,20,233,26,4.875594181
2019,78721,189,1278,121,414,16,126,31,25,277,27,4.875594181
2011,78722,73,383,47,166,3,61,46,5,319,75,1.821332093
2012,78722,135,428,43,156,13,48,56,7,317,54,1.821332093
2013,78722,130,490,56,174,9,41,72,6,261,49,1.821332093
2014,78722,79,447,60,142,10,35,57,4,233,46,1.821332093
2015,78722,69,507,50,128,15,37,42,2,212,31,1.821332093
2016,78722,79,464,50,154,6,33,33,1,158,22,1.821332093
2017,78722,83,592,37,145,10,43,41,3,127,25,1.821332093
2018,78722,88,512,33,122,5,34,31,1,172,10,1.821332093
2019,78722,75,582,39,120,7,16,25,2,153,11,1.821332093
2011,78723,452,1484,467,1638,60,280,189,194,1558,327,9.432935353
2012,78723,479,1482,489,1610,65,237,165,203,1462,309,9.432935353
2013,78723,762,1662,472,1524,49,233,161,202,1482,277,9.432935353
2014,78723,493,2093,436,1360,47,253,125,162,1295,223,9.432935353
2015,78723,464,2396,413,1238,73,223,144,127,1360,185,9.432935353
2016,78723,509,2436,367,1200,55,228,129,218,1264,186,9.432935353
2017,78723,513,2759,346,1103,47,296,121,172,1174,215,9.432935353
2018,78723,497,2463,341,1108,51,237,88,323,1150,73,9.432935353
2019,78723,426,2676,334,1157,38,202,71,229,1271,57,9.432935353
2011,78724,97,653,184,534,22,63,51,98,415,86,31.70152449
2012,78724,74,576,155,627,24,82,65,68,397,83,31.70152449
2013,78724,74,800,171,514,23,115,59,91,325,70,31.70152449
2014,78724,118,1298,146,593,20,83,51,84,327,74,31.70152449
2015,78724,51,1050,155,540,19,103,42,70,317,55,31.70152449
2016,78724,119,716,168,530,18,88,61,56,300,44,31.70152449
2017,78724,157,1436,144,534,11,83,40,32,218,30,31.70152449
2018,78724,155,1214,147,426,9,103,35,64,255,15,31.70152449
