year,1 year,5 years,zipcode,Dem: Median Age,Dem: % <18,Dem: Pop,Dem: Pop Density,Div: % NH White,Div: % Black,Div: % Latino,Div: Diversity  Score,Div: % Born in US,Ed: % Less than HS,Ed: % w/ Grad,Comp: % Married,Comp: % Fam HHs,Hsg: % Paying >20% Income on Housing,Hsg: % Paying >30% Income on Housing,Hsg: % Paying >40% Income on Housing,Hsg: Median House Costs,Inc: Income >40K,Inc: Income >60K,Inc: Income >100K,Inc: PC Income,Inc: Gini Index,Mob: % Same House (1y),Mob: % From Out of State (1y),Occ: % in Labor Force,Occ: % in mgmt/bus/science/arts,Occ: % in serv/construct/prod,Trns: % w/ 3+ Vehicles,Trns: % Walk/Bike to Work,Trns: % Public Trans to Work,Hsg: % Owner Occupied,Hsg: % Renter Occupied,Unt: % w/ 1,Unt: % w/ 5+,Unt: % w/ 50+,Unt: % w/ 3+bdrm,Unt: % w/ 1bdrm,Y: % built pre-1970,Y: % built pre-1940,Y: median yr built,com_permit_per_cap,res_permit_per_cap,assault_crime_per_cap,criminal_activity_crime_per_cap,identity_theft_crime_per_cap,narcotics_crime_per_cap,public_intoxication_crime_per_cap,runaway_child_crime_per_cap,theft_crime_per_cap,warrent_arrest_crime_per_cap,1Y: Inc: Median Income Past 12m,1Y: Ed: % w/ BA,1Y: Hsg: Median Gross Rent,1Y: Hsg: Median House Val,5Y: Inc: Median Income Past 12m,5Y: Ed: % w/ BA,5Y: Hsg: Median Gross Rent,5Y: Hsg: Median House Val,1Y CHG: Inc: Median Income Past 12m,5Y CHG: Inc: Median Income Past 12m,1Y CHG > Median Inc: Median Income Past 12m,5Y CHG > Median Inc: Median Income Past 12m,1Y CHG > 75th Inc: Median Income Past 12m,5Y CHG > 75th Inc: Median Income Past 12m,1Y CHG: Ed: % w/ BA,5Y CHG: Ed: % w/ BA,1Y CHG > Median Ed: % w/ BA,5Y CHG > Median Ed: % w/ BA,1Y CHG > 75th Ed: % w/ BA,5Y CHG > 75th Ed: % w/ BA,1Y CHG: Hsg: Median Gross Rent,5Y CHG: Hsg: Median Gross Rent,1Y CHG > Median Hsg: Median Gross Rent,5Y CHG > Median Hsg: Median Gross Rent,1Y CHG > 75th Hsg: Median Gross Rent,5Y CHG > 75th Hsg: Median Gross Rent,1Y CHG: Hsg: Median House Val,5Y CHG: Hsg: Median House Val,1Y CHG > Median Hsg: Median House Val,5Y CHG > Median Hsg: Median House Val,1Y CHG > 75th Hsg: Median House Val,5Y CHG > 75th Hsg: Median House Val,Gentrified 1Y Median,Gentrified 1Y 75th,Gentrified 5Y Median,Gentrified 5Y 75th
2011,2012,2016,78701,33.1,0.01121164437,5084,2214.972616,0.8058615264,0.07808811959,0.8804091267,,0.8825727773,0.05593906213,0.3180195192,0.2532197345,0.1873441397,0.6841872792,0.4677561837,0.3409893993,1537,0.635286783,0.5249376559,0.3513092269,69865,0.5747,0.5934044234,0.1267772512,0.7142004773,1.194121136,2.331825932,0.04467465199,0.197710396,0.03372524752,0.2942643392,0.7057356608,0.08130662852,0.8843586075,0.7238912732,0.05793991416,0.4630424416,0.3209346686,0.06509298999,2000,0.269866247,0.01081825334,0.1028717545,0.1439811172,0.007867820614,0.07848151062,0.3113690008,0.0007867820614,0.2523603462,0.1414240755,49099,0.3855109961,1590,338300,76111,0.399238965,1734,447100,9190,36202,TRUE,TRUE,TRUE,TRUE,-0.02248709957,-0.008759130699,FALSE,FALSE,FALSE,FALSE,68,212,TRUE,FALSE,FALSE,FALSE,21200,130000,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2012,2013,2017,78701,33.8,0.0320808224,5642,2458.079367,0.8146047501,0.05778092875,0.858560794,,0.8606876994,0.0539025442,0.3495040966,0.2573355203,0.1867572156,0.6731793961,0.4391651865,0.3126110124,1584,0.6632710809,0.5749858517,0.357385399,76811,0.5893,0.6308760684,0.1041666667,0.7085995983,1.211558255,2.13507129,0.03821090047,0.2341645171,0.04155918601,0.3627617431,0.6372382569,0.0631130064,0.9102345416,0.7454157783,0.05415778252,0.457782516,0.3247334755,0.07697228145,2000,0.3057426445,0.01276143212,0.1114852889,0.1249556895,0.005140021269,0.07550514002,0.2034739454,0.0005317263382,0.2199574619,0.1199929103,59986,0.3810187027,1653,372000,81451,0.4226425748,1847,476700,10887,32352,TRUE,TRUE,TRUE,TRUE,-0.004492293373,0.0371315787,FALSE,TRUE,FALSE,FALSE,63,257,TRUE,TRUE,FALSE,FALSE,33700,138400,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2013,2014,2018,78701,33.8,0.03871513102,5915,2577.018691,0.8194420964,0.05291631445,0.8622147084,,0.874556213,0.04994031039,0.3742538798,0.2834934498,0.2023013112,0.5828274068,0.3894189072,0.2155247181,1714,0.7374899652,0.648916243,0.4666845063,89670,0.535,0.6419354839,0.07928692699,0.7640764778,1.14170841,0.8489058793,0.05007587253,0.2203557312,0.02915019763,0.3829274819,0.6170725181,0.05461613217,0.9185617104,0.7694849368,0.06083576288,0.4379008746,0.2606413994,0.06355685131,2002,0.3597633136,0.01048182587,0.1009298394,0.1122569738,0.004902789518,0.07337278107,0.1895181741,0.000338123415,0.2055790363,0.1136094675,65046,0.3821335323,1691,430800,81354,0.4664908284,1950,435400,5060,21368,TRUE,TRUE,TRUE,TRUE,0.001114829518,0.08547212569,FALSE,TRUE,FALSE,TRUE,38,297,FALSE,TRUE,FALSE,TRUE,58800,63400,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
2014,2015,2019,78701,33.3,0.03684550743,6188,2695.958015,0.808177117,0.04945054945,0.8545572075,,0.860051713,0.05445729206,0.3582618426,0.260891337,0.1843971631,0.650509165,0.3906313646,0.1906313646,1780,0.7568389058,0.6838905775,0.4508611955,92411,0.5317,0.6029531073,0.07366542268,0.7614586818,1.072298746,1.236755286,0.03623710103,0.2153773807,0.01763461086,0.3781661601,0.6218338399,0.04162021553,0.939056113,0.7920847269,0.05667038276,0.395206243,0.2487922705,0.06800445931,2002,0.3526179703,0.008241758242,0.08500323206,0.1071428571,0.004524886878,0.06043956044,0.1700064641,0.0004848093083,0.1734001293,0.132029735,,0.4112421257,1752,440100,84226,0.4910547119,2262,448100,,19180,FALSE,TRUE,FALSE,TRUE,0.0291085934,0.1089211796,TRUE,TRUE,TRUE,TRUE,61,571,TRUE,TRUE,FALSE,TRUE,9300,17300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2015,2016,2020,78701,33.5,0.03758332151,7051,3071.945696,0.809530563,0.03758332151,0.8594525599,,0.8559069636,0.0515264093,0.3480859312,0.3078612209,0.2219422813,0.6341017197,0.3523600439,0.1668496158,1860,0.7748511223,0.7040769583,0.4933577645,94892,0.5194,0.6203611546,0.09540736528,0.7792931515,1.077826416,0.9982763111,0.0274,0.2112341772,0.02353639241,0.3740265689,0.6259734311,0.04137095378,0.9404535226,0.7857019214,0.04794876233,0.4178639432,0.2170676822,0.05556517223,2002,0.3030775776,0.006098425755,0.0831087789,0.09870940292,0.005105658772,0.04793646291,0.1229612821,0.0008509431286,0.1579917742,0.1019713516,76111,0.399238965,1734,447100,,,,,,,FALSE,FALSE,FALSE,FALSE,-0.01200316067,,FALSE,FALSE,FALSE,FALSE,-18,,FALSE,FALSE,FALSE,FALSE,7000,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2016,2017,2021,78701,36.5,0.04094041346,7401,3224.432009,0.8366436968,0.03067153087,0.8663694095,,0.8592082151,0.04155251142,0.3537290715,0.320582878,0.2358862144,0.6475836431,0.3918215613,0.1539033457,1894,0.810940919,0.7286652079,0.5107221007,105058,0.5412,0.6460620849,0.09990511048,0.7756760544,1.095097664,1.709672643,0.02542694497,0.2021356313,0.01648557512,0.4113785558,0.5886214442,0.03963963964,0.9441441441,0.792956593,0.05896805897,0.392956593,0.2044226044,0.05274365274,2003,0.262802324,0.005134441292,0.07026077557,0.1018781246,0.003783272531,0.04796649101,0.105796514,0.0008107012566,0.1372787461,0.06174841238,81451,0.4226425748,1847,476700,,,,,5340,,TRUE,FALSE,TRUE,FALSE,0.02340360982,,TRUE,FALSE,TRUE,FALSE,113,,TRUE,FALSE,TRUE,FALSE,29600,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
2017,2018,2022,78701,35.4,0.01282539683,7875,3430.942044,0.8525714286,0.04228571429,0.8421587302,,0.8725079365,0.06112365895,0.3095708639,0.3179020262,0.2444902163,0.589597209,0.3549000951,0.1313035205,1982,0.8035015448,0.7256436663,0.557569516,109136,0.5316,0.6397712834,0.1039390089,0.7799435753,1.113460175,1.139866107,0.05593451569,0.1769776876,0.02112914131,0.3505664264,0.6494335736,0.0298053528,0.9457116788,0.8163017032,0.07086374696,0.4479927007,0.1756386861,0.04212287105,2004,0.2543492063,0.003428571429,0.07453968254,0.09485714286,0.004952380952,0.1055238095,0.08457142857,0.001015873016,0.121015873,0.04495238095,81354,0.4664908284,1950,435400,,,,,-97,,FALSE,FALSE,FALSE,FALSE,0.04384825362,,TRUE,FALSE,TRUE,FALSE,103,,TRUE,FALSE,TRUE,FALSE,-41300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,2019,2023,78701,35.3,0.0186697783,9427,4107.109924,0.8475655033,0.04200700117,0.8488384428,,0.8814044765,0.05275146865,0.2931303201,0.3147109577,0.2590199246,0.5897648686,0.3449515906,0.1441217151,2040,0.8187040029,0.7567761623,0.5523245378,99948,0.5146,0.6754404585,0.1103799618,0.7812769629,1.100544421,1.005635657,0.04289163471,0.1958733748,0.02529677784,0.3511039311,0.6488960689,0.02776273023,0.9494853738,0.8234019502,0.06554712893,0.5265438787,0.1604821235,0.04130552546,2004,0.2121565715,0.005834305718,0.05972207489,0.08825713376,0.00275803543,0.04571974117,0.05600933489,0.0005303914289,0.1088363212,0.0186697783,84226,0.4910547119,2262,448100,,,,,2872,,TRUE,FALSE,TRUE,FALSE,0.02456388344,,TRUE,FALSE,TRUE,FALSE,312,,TRUE,FALSE,TRUE,FALSE,12700,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
2011,2012,2016,78702,32.5,0.2516591581,20643,3000.971853,0.5939059245,0.1581165528,0.4400038754,,0.8359734535,0.3183906343,0.06987255483,0.3063664502,0.5115984282,0.6949317739,0.4597953216,0.2151559454,770,0.4413740652,0.2636582583,0.1143364178,18767,0.4955,0.8231868455,0.03425663111,0.6465027187,1.697636479,2.299021168,0.2213469433,0.06729920565,0.08484112974,0.4797819749,0.5202180251,0.6835787089,0.1987542469,0.1116647792,0.3852774632,0.1990939977,0.6349943375,0.2295583239,1957,0.02519013709,0.06229714673,0.01797219396,0.05469166303,0.001743932568,0.03642881364,0.01724555539,0.004117618563,0.06733517415,0.03124545851,19182,0.2097674082,766,175400,25681,0.2390421079,990,251000,1172,7671,TRUE,TRUE,FALSE,FALSE,-0.00533336244,0.02394133726,FALSE,TRUE,FALSE,FALSE,71,295,TRUE,TRUE,TRUE,TRUE,7900,83500,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2012,2013,2017,78702,32.1,0.2529003423,21032,3057.522648,0.6170121719,0.1538607836,0.4369532141,,0.8313046786,0.2949786247,0.07608144337,0.2990479634,0.521526296,0.7262647263,0.5001155001,0.2584892585,827,0.4400652692,0.2732521652,0.1073176855,18843,0.4817,0.8031999231,0.02527266612,0.6629841036,1.569343356,2.349202561,0.1973656029,0.0778627576,0.07775653282,0.4566336137,0.5433663863,0.6693648117,0.2023608769,0.1100618325,0.3823496346,0.2003372681,0.5917931422,0.2211354694,1960,0.02924115633,0.06271395968,0.01954165082,0.05434575884,0.002234689996,0.02952643591,0.01906618486,0.00361354127,0.06257131989,0.02790985165,20670,0.2198669136,807,188000,28191,0.255716509,1020,297700,1488,9009,TRUE,TRUE,FALSE,TRUE,0.01009950547,0.04594910088,TRUE,TRUE,FALSE,FALSE,41,254,FALSE,TRUE,FALSE,FALSE,12600,122300,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
