incident_number,highest_offense_description,family_violence,occurred_date,zip_code,council_district,census_tract,clearance_status,category_description
2018940093,POSSESSION OF MARIJUANA,N,04/04/2018,78704,9,13,N,NA
2009240719,PUBLIC INTOXICATION,N,01/24/2009,78758,4,18.21,NA,NA
2017410335,CAMPING IN PARK,N,02/10/2017,78701,9,11,C,NA
20125054174,BURGLARY OF VEHICLE,N,12/05/2012,78742,2,NA,N,Theft
20131001017,TERRORISTIC THREAT,N,04/10/2013,78701,9,11,N,NA
20091332452,DWI 2ND,N,05/13/2009,78753,4,18.23,C,NA
20031981364,FAMILY DISTURBANCE,N,07/17/2003,78749,8,17.77,NA,NA
20045006981,BURGLARY OF VEHICLE,N,02/12/2004,78701,9,11,NA,Theft
20085045568,BURGLARY OF VEHICLE,N,08/28/2008,78752,4,18.12,N,Theft
20128001872,BURGLARY OF VEHICLE,N,09/13/2012,78703,10,16.02,N,Theft
20082280049,DWI,N,08/15/2008,78757,7,15.05,NA,NA
20161850681,ASSAULT W/INJURY-FAM/DATE VIOL,Y,07/03/2016,78748,5,24.21,C,NA
20055048800,BURGLARY OF VEHICLE,N,09/24/2005,78729,6,204,NA,Theft
20192780309,ASSAULT W/INJURY-FAM/DATE VIOL,Y,10/05/2019,78744,2,24.13,C,NA
20205019858,THEFT OF LICENSE PLATE,N,05/21/2020,78759,7,NA,N,Theft
2009780965,THEFT,N,03/18/2009,78751,4,21,N,Theft
20132981336,WARRANT ARREST NON TRAFFIC,N,10/25/2013,78751,9,3,C,NA
20145008025,RUNAWAY CHILD,N,02/20/2014,78704,3,13,N,NA
20095044010,BURGLARY NON RESIDENCE,N,08/04/2009,78702,3,NA,N,Burglary
20083441584,ASSAULT BY THREAT,N,12/09/2008,78719,2,9800,N,NA
2010270537,CRIMINAL TRESPASS/TRANSIENT,N,01/27/2010,78758,4,18.19,N,NA
20182161862,FAMILY DISTURBANCE,N,08/04/2018,78729,6,204,N,NA
20163090983,PROBATION VIOL,N,11/04/2016,78702,1,8,C,NA
2003924818689,CRIMINAL MISCHIEF,N,05/27/2003,78756,7,NA,N,NA
20175018302,BURGLARY OF VEHICLE,N,03/03/2017,78744,2,24.27,N,Theft
20191301887,FAMILY DISTURBANCE,N,05/10/2019,78753,7,NA,N,NA
20115030526,BURGLARY OF VEHICLE,N,06/20/2011,78744,5,24.25,N,Theft
20055040097,DEBIT CARD ABUSE,N,08/09/2005,78749,8,17.49,NA,NA
20115022644,BURGLARY OF VEHICLE,N,05/05/2011,78744,2,24.11,N,Theft
20165037294,IDENTITY THEFT,N,09/09/2016,78735,8,19.15,N,NA
20191500523,WARRANT ARREST NON TRAFFIC,N,05/30/2019,78704,5,19.01,C,NA
