,1Y: Inc: Median Income Past 12m,1Y: Ed: % w/ BA,1Y: Hsg: Median Gross Rent,1Y: Hsg: Median House Val,5Y: Inc: Median Income Past 12m,5Y: Ed: % w/ BA,5Y: Hsg: Median Gross Rent,5Y: Hsg: Median House Val,1Y CHG: Inc: Median Income Past 12m,5Y CHG: Inc: Median Income Past 12m,1Y CHG > Median Inc: Median Income Past 12m,5Y CHG > Median Inc: Median Income Past 12m,1Y CHG > 75th Inc: Median Income Past 12m,5Y CHG > 75th Inc: Median Income Past 12m,1Y CHG: Ed: % w/ BA,5Y CHG: Ed: % w/ BA,1Y CHG > Median Ed: % w/ BA,5Y CHG > Median Ed: % w/ BA,1Y CHG > 75th Ed: % w/ BA,5Y CHG > 75th Ed: % w/ BA,1Y CHG: Hsg: Median Gross Rent,5Y CHG: Hsg: Median Gross Rent,1Y CHG > Median Hsg: Median Gross Rent,5Y CHG > Median Hsg: Median Gross Rent,1Y CHG > 75th Hsg: Median Gross Rent,5Y CHG > 75th Hsg: Median Gross Rent,1Y CHG: Hsg: Median House Val,5Y CHG: Hsg: Median House Val,1Y CHG > Median Hsg: Median House Val,5Y CHG > Median Hsg: Median House Val,1Y CHG > 75th Hsg: Median House Val,5Y CHG > 75th Hsg: Median House Val,Gentrified 1Y Median,Gentrified 1Y 75th,Gentrified 5Y Median,Gentrified 5Y 75th
0,48353,0.40915008368978983,1106,570400,54362,0.40387845472591233,1219,641200,865.0,6874.0,False,True,False,False,-0.013206529653947974,-0.01847815861782548,False,False,False,False,5.0,118.0,False,False,False,False,-8900.0,61900.0,False,False,False,False,False,False,False,False
1,55855,0.3386613386613387,1496,467700,52926,0.4073754954333965,1608,528100,4032.0,1103.0,True,False,True,False,-0.0038753308813705423,0.06483882589068729,False,True,False,True,-25.0,87.0,False,False,False,False,27900.0,88300.0,True,True,True,False,False,False,False,False
2,24546,0.36325167037861916,865,292200,31480,0.4241922927209031,1087,366100,800.0,7734.0,False,True,False,False,0.02587384766207046,0.08681447000435438,True,True,True,True,36.0,258.0,False,True,False,False,-8100.0,65800.0,False,False,False,False,False,False,True,False
3,49099,0.3855109961190168,1590,338300,76111,0.39923896499238964,1734,447100,9190.0,36202.0,True,True,True,True,-0.022487099572485236,-0.008759130699112383,False,False,False,False,68.0,212.0,True,False,False,False,21200.0,130000.0,True,True,False,True,False,False,False,False
4,43903,0.4247834077185613,1122,379900,50853,0.381498657554308,1304,426500,-2212.0,4738.0,False,False,False,False,0.008505171791705846,-0.03477957837254747,True,False,False,False,15.0,197.0,False,False,False,False,4800.0,51400.0,False,False,False,False,False,False,False,False
5,20596,0.15145544111061351,752,153000,23059,0.20497082670303857,892,202800,-360.0,2103.0,False,False,False,False,0.005301594956767353,0.058816980549192405,True,True,False,True,8.0,148.0,False,False,False,False,4100.0,53900.0,False,False,False,False,False,False,False,False
6,22573,0.2122799664710813,898,144200,27457,0.23085113045656666,998,159600,-1090.0,3794.0,False,False,False,False,-0.0027004370707970626,0.0158707269146883,False,False,False,False,23.0,123.0,False,False,False,False,3500.0,18900.0,False,False,False,False,False,False,False,False
7,4950,0.33408499566348654,1088,292500,6234,0.39722933293178736,1140,432800,-230.0,1054.0,False,False,False,False,-0.02255475695633824,0.04058958031196258,False,True,False,False,87.0,139.0,True,False,True,False,-7500.0,132800.0,False,True,False,True,False,False,False,False
8,42216,0.37829036635006785,962,307800,46193,0.3756496149270553,1150,367600,690.0,4667.0,False,False,False,False,0.003777250635338958,0.0011364992123263917,False,False,False,False,24.0,212.0,False,False,False,False,5500.0,65300.0,False,False,False,False,False,False,False,False
9,31481,0.2635986258230747,901,168600,37237,0.3130183220829315,1046,188100,521.0,6277.0,False,True,False,False,-0.014055254640796822,0.035364441619059994,False,True,False,False,14.0,159.0,False,False,False,False,1400.0,20900.0,False,False,False,False,False,False,False,False
