permit_number,case_type,case_name,sub_type,work,status,proposed_land_use,desc_of_proposed_development,final_date,status_date,application_start_date,approval_date,calendar_year_folder_created,zip_code,existing_no_of_lots,proposed_no_of_lots
1997-000147 C8,Subdivision,STEED'S RIDGE,NA,NA,Approved,999,STEED'S RIDGE,NA,03/02/2007 06:10:13 AM,07/08/1997,NA,1997,NA,NA,NA
2001-000281 C8,Subdivision,"BLUE BONNET GARDENS ANNEX, AMENDED PLAT OF LOTS 6 & 7",Final Plat,Amended Plat,Approved,RET,"BLUE BONNET GARDENS ANNEX, AMENDED PLAT OF LOTS 6 & 7",02/04/2002,01/28/2009 10:29:08 AM,12/26/2001,NA,2001,NA,NA,NA
1982-000010 C8,Subdivision,VINEYARD BAY PHASE TWO PUD,NA,NA,Approved,999,VINEYARD BAY PHASE TWO PUD,NA,03/02/2007 06:10:13 AM,03/21/1990,NA,1990,NA,NA,NA
1988-000008 C8,Subdivision,"TURNERSVILLE ESTATES, AMENDED PLAT OF LOTS 7 & 8",NA,NA,Approved,999,"TURNERSVILLE ESTATES, AMENDED PLAT OF LOTS 7 & 8",02/23/1988,03/02/2007 06:10:13 AM,02/02/1988,NA,1988,NA,NA,NA
1984-000058 C8,Subdivision,VILLAGE AT WESTERN OAKS SECTION 16B,NA,NA,Closed,999,VILLAGE AT WESTERN OAKS SECTION 16B,03/19/1997,03/02/2007 06:10:13 AM,03/08/1994,NA,1994,NA,NA,91
1993-000115 C8,Subdivision,SHADOW RIDGE CROSSING SECTION 10 - ADMINISTRATIVE REVISION,Preliminary Plan,Revised Preliminary,Approved,SF,SHADOW RIDGE CROSSING SECTION 10 - ADMINISTRATIVE REVISION,12/02/2002,03/02/2007 06:10:13 AM,05/07/2002,NA,2002,NA,NA,NA
2004-000164 C8,Subdivision,CYPRESS BAY-LAKE AUSTIN,Preliminary Plan,Preliminary,Expired,SF,CYPRESS BAY-LAKE AUSTIN,04/05/2005,05/07/2008 11:36:48 AM,11/09/2004,NA,2004,NA,NA,NA
1985-000023 C8,Subdivision,FOUR POINTS CENTRE,NA,NA,Approved,"999, 999, 999",FOUR POINTS CENTRE,09/18/1996,03/02/2007 06:10:13 AM,07/10/1995,NA,1995,NA,NA,NA
1993-000063 C8,Subdivision,GATEWAY SQUARE SUBDIVISION,NA,NA,Approved,999,GATEWAY SQUARE SUBDIVISION,05/18/1993,03/02/2007 06:10:13 AM,04/12/1993,NA,1993,NA,NA,4
1993-000073 C8,Subdivision,ROB ROY ON THE CREEK SECTION 4,NA,NA,Approved,"999, 999, 999",ROB ROY ON THE CREEK SECTION 4,12/13/1993,03/02/2007 06:10:13 AM,05/05/1993,NA,1993,NA,NA,NA
1987-000011 C8,Subdivision,"GREAT HILLS RESERVE PHASE B, SECTION 29",NA,NA,Closed,"999, 999","GREAT HILLS RESERVE PHASE B, SECTION 29",03/27/1987,03/02/2007 06:10:13 AM,02/23/1987,NA,1987,NA,NA,NA
1990-000043 C8,Subdivision,"AQUA MONTE SEC 2, AMENDED PLAT OF LOTS 9 & 10, BLOCK E",Final Plat,Amended Plat,Approved,999,"AQUA MONTE SECTION 2, BLK. E, LOTS 9 & 10, AMENDED PLAT",05/08/1990,01/29/2009 01:35:10 PM,04/09/1990,NA,1990,78733,NA,2
1998-Z002043 C8,Subdivision,"BROADACRES, RESUB. OF LOT 17 & A PORTION OF LOT 16, BLOCK 9",Final Plat,Without Preliminary,Closed,NA,"BROADACRES, RESUB. OF LOT 17 & A PORTION OF LOT 16, BLOCK 9",NA,03/02/2007 06:10:13 AM,NA,NA,NA,NA,NA,NA
1984-000073 C8,Subdivision,"COPPERFIELD SECTION 3, REVISED",NA,NA,Withdrawn,999,"COPPERFIELD SECTION 3, REVISED",05/04/1999,03/02/2007 06:10:13 AM,04/20/1999,NA,1999,NA,NA,NA
2000-002254 C8,Subdivision,BYRAM ADDITION SEC 1 / EXTENDED STAY AMERICA,Final Plat,Without Preliminary,Approved,"RET, RET",BYRAM ADDITION SEC 1 / EXTENDED STAY AMERICA,02/18/2001,03/02/2007 06:10:13 AM,11/07/2000,NA,2000,NA,NA,NA
1992-000149 C8,Subdivision,BRODIE SPRINGS SECTION THREE- VACATION PLAT,NA,NA,Approved,NA,BRODIE SPRINGS SECTION THREE- VACATION PLAT,09/06/2001,03/02/2007 06:10:13 AM,09/07/1999,NA,1999,NA,NA,NA
1977-000169 C8,Subdivision,PRESBYTERIAN ADDITION 2,NA,NA,Approved,NA,PRESBYTERIAN ADDITION 2,06/08/2006,03/02/2007 06:10:13 AM,05/16/2006,NA,2006,NA,NA,NA
1993-000099 C8,Subdivision,"STEINER RANCH PHASE 2, SECTION 3",NA,NA,Approved and Released,999,"STEINER RANCH PHASE 2, SECTION 3-A",01/11/1995,03/02/2007 06:10:13 AM,12/30/1993,NA,1993,NA,NA,150
1994-000113 C8,Subdivision,CITY VIEW SUBDIVISION,NA,NA,Approved,"999, 999",CITY VIEW SUBDIVISION,NA,03/02/2007 06:10:13 AM,06/01/1994,NA,1994,NA,NA,NA
1998-000076 C8,Subdivision,DESSAU BUSINESS PARK SEC 1 (ROUGH CUT),Subdivision Construction Plan,Rough Cut,Closed,"999, 999",DESSAU BUSINESS PARK SEC 1 (ROUGH CUT),02/02/1999,03/02/2007 06:10:13 AM,01/15/1999,NA,1999,NA,NA,NA
