postal_code,customer_class,total_gallons,type,year,month
78613,Commercial,2880800,commercial,2012,1
78613,Irrigation - Commercial,855400,commercial,2012,1
78617,Austin Water Utility,438700,commercial,2012,1
78617,City of Austin,6500300,commercial,2012,1
78617,Commercial,9162600,commercial,2012,1
78617,Irrigation - City of Austin,0,commercial,2012,1
78617,Irrigation - Commercial,585800,commercial,2012,1
78640,Commercial,57900,commercial,2012,1
78652,Commercial,156300,commercial,2012,1
78652,Irrigation - Commercial,39900,commercial,2012,1
78653,Commercial,101600,commercial,2012,1
78653,Irrigation - Commercial,50900,commercial,2012,1
78653,Wholesale,0,commercial,2012,1
78660,Commercial,3635300,commercial,2012,1
78660,Irrigation - Commercial,1538500,commercial,2012,1
78660,Wholesale,26510300,commercial,2012,1
78681,City of Austin,3500,commercial,2012,1
78681,Irrigation - City of Austin,26000,commercial,2012,1
78701,Austin Water Utility,96000,commercial,2012,1
78701,City of Austin,3688300,commercial,2012,1
78701,Commercial,58017300,commercial,2012,1
78701,Irrigation - City of Austin,691500,commercial,2012,1
78701,Irrigation - Commercial,1335900,commercial,2012,1
78701,Large Volume,174400,commercial,2012,1
78702,Austin Water Utility,78000,commercial,2012,1
78702,City of Austin,1029600,commercial,2012,1
78702,Commercial,26550300,commercial,2012,1
78702,Irrigation - City of Austin,732600,commercial,2012,1
78702,Irrigation - Commercial,1327600,commercial,2012,1
78703,Austin Water Utility,0,commercial,2012,1
78703,City of Austin,898000,commercial,2012,1
78703,Commercial,16286500,commercial,2012,1
78703,Irrigation - City of Austin,143100,commercial,2012,1
78703,Irrigation - Commercial,904800,commercial,2012,1
78704,Austin Water Utility,605800,commercial,2012,1
78704,City of Austin,1171000,commercial,2012,1
78704,Commercial,33067000,commercial,2012,1
78704,Irrigation - City of Austin,71500,commercial,2012,1
78704,Irrigation - Commercial,1991300,commercial,2012,1
78705,City of Austin,83300,commercial,2012,1
78705,Commercial,25113800,commercial,2012,1
78705,Irrigation - City of Austin,400,commercial,2012,1
78705,Irrigation - Commercial,917600,commercial,2012,1
78705,Large Volume,2735600,commercial,2012,1
78710,Commercial,55900,commercial,2012,1
78710,Irrigation - Commercial,218300,commercial,2012,1
78712,Commercial,4236900,commercial,2012,1
78712,Irrigation - Commercial,529800,commercial,2012,1
78712,Irrigation - Large Volume,11155600,commercial,2012,1
78712,Large Volume,7472900,commercial,2012,1
78714,Commercial,246200,commercial,2012,1
78714,Irrigation - Commercial,30000,commercial,2012,1
78717,City of Austin,0,commercial,2012,1
78717,Commercial,4208700,commercial,2012,1
78717,Irrigation - City of Austin,0,commercial,2012,1
78717,Irrigation - Commercial,3921900,commercial,2012,1
78719,Austin Water Utility,137700,commercial,2012,1
78719,City of Austin,2625100,commercial,2012,1
78719,Commercial,3383200,commercial,2012,1
78719,Irrigation - City of Austin,115300,commercial,2012,1
78719,Irrigation - Commercial,340200,commercial,2012,1
78719,Wholesale,1615400,commercial,2012,1
78721,Austin Water Utility,11100,commercial,2012,1
78721,City of Austin,90100,commercial,2012,1
78721,Commercial,7376200,commercial,2012,1
78721,Irrigation - City of Austin,10200,commercial,2012,1
78721,Irrigation - Commercial,362600,commercial,2012,1
78722,City of Austin,40700,commercial,2012,1
78722,Commercial,4666300,commercial,2012,1
78722,Irrigation - City of Austin,1923000,commercial,2012,1
78722,Irrigation - Commercial,211800,commercial,2012,1
78723,Austin Water Utility,0,commercial,2012,1
78723,City of Austin,172400,commercial,2012,1
78723,Commercial,13654800,commercial,2012,1
78723,Irrigation - City of Austin,1000,commercial,2012,1
78723,Irrigation - Commercial,2431500,commercial,2012,1
78724,Austin Water Utility,800900,commercial,2012,1
78724,City of Austin,1395100,commercial,2012,1
78724,Commercial,3482300,commercial,2012,1
78724,Irrigation - City of Austin,0,commercial,2012,1
78724,Irrigation - Commercial,2256000,commercial,2012,1
78725,Austin Water Utility,233500,commercial,2012,1
78725,City of Austin,25100,commercial,2012,1
78725,Commercial,5222100,commercial,2012,1
78725,Irrigation - Commercial,80600,commercial,2012,1
78725,Large Volume,21456100,commercial,2012,1
78725,Wholesale,1166100,commercial,2012,1
78726,Austin Water Utility,0,commercial,2012,1
78726,City of Austin,301000,commercial,2012,1
78726,Commercial,6281400,commercial,2012,1
78726,Irrigation - Commercial,1740200,commercial,2012,1
78727,City of Austin,27000,commercial,2012,1
78727,Commercial,13484000,commercial,2012,1
78727,Irrigation - City of Austin,0,commercial,2012,1
78727,Irrigation - Commercial,2461200,commercial,2012,1
78728,Commercial,3083900,commercial,2012,1
78728,Irrigation - Commercial,1144600,commercial,2012,1
78728,Large Volume,17888000,commercial,2012,1
78728,Wholesale,37528200,commercial,2012,1
78729,City of Austin,12900,commercial,2012,1
