zip_code,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31
78660,153358,153187,153080,152978,153015,153116,153139,153250,153352,153577,153775,154026,154391,154857,155353,155681,155826,155888,155900,155914,155975,156117,156268,156435,156342,156143,155848,155538,155359,155293,155547,155726,155930,155847,155929,155918,156241,156835,157842,159111,160331,161518,162832,164052,165294,166439,167569,168818,169871,170933,171463,171819,172116,172426,172342,172521,172759,173476,173925,174516,174867,175134,175293,175733,175986,176264,176598,177009,177196,177198,177430,177603,177981,178008,178237,178241,178513,178960,179116,178992,178852,178690,178472,177871,177409,176983,177005,176931,177047,176584,176590,176402,176474,176349,176234,176164,176204,176913,177511,177956,177910,177979,178186,178812,179345,179984,180477,181240,181651,181688,181414,181429,181579,182235,182460,182514,182297,182290,182444,182770,183171,183617,184020,184404,184662,184844,185129,185504,186086,186485,186970,187012,187334,187670,188040,188370,188998,189708,190394,191079,191878,192825,193987,195223,195828,195656,195612,195688,195593,194876,194286,193604,192897,192068,190265,188728,187739,187644,187286,186369,185748,185500,185517,185450,185245,185018,185740,186274,186207,185741,185330,185336,185214,185157,184774,184063,183333,182677,181894,181219,180782,180241,179781,179416,178993,178309,177649,177963,178183,178464,178211,177894,177931,178318,178933,179103,179412,179975,180654,180811,181397,181770,182236,183036,183967,185405,186793,189125,190997,192754,194202,195657,196964,198524,200801,202620,204017,204768,205718,206591,207944,209391,210663,211975,213464,215114,216341,217508,219058,220924,222577,223652,224978,226562,229069,231544,233541,234801,235988,237915,240310,242255,243993,245453,246789,247943,249040,249777,250803,252336,254512,256043,256330,256912,258011,259787,260845,261369,261423,262111,263372,264723,265698,266383,267279,267728,268063,268135,269155,271145,273212,275068,275163,275714,275173,275891,276845,278808,279465,279855,279956,280893,281547,282090,282888,283453,284330,285600,287754,289705,291543,293248,295541,297776,300716,304199,308782,313882,320012,325914,331657,337919,345907
78704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262439,264825,266280,270806,275604,281333,285634,287842,290991,295349,300317,303688,305740,307594,309917,311802,312567,312155,311827,314067,315848,316701,315797,315261,315461,316585,317839,317392,316534,313982,313928,315187,314599,311328,308528,308303,308772,307146,307497,307708,309103,311200,313281,311611,308279,306673,305699,304989,305359,306165,305831,304795,304779,304881,304921,308132,314499,320319,323961,324636,325138,326802,329300,331756,333095,335292,337924,339966,339822,339912,341492,344112,346888,348358,350326,352631,355074,357148,358061,358848,360181,361795,363268,365198,367400,369664,370666,371375,372556,373819,374695,375314,375519,376766,378223,380527,382032,383657,385586,387388,388300,387920,388390,388897,390080,389135,387911,384920,381813,378591,374640,371494,369315,368479,366924,364550,361879,360058,358350,357871,357563,357876,358793,359474,358335,356567,355508,355281,355587,355745,356280,355800,355675,355700,355794,355151,355279,355186,354843,354024,353147,352778,352164,352663,353518,354115,354788,355534,357196,359957,363353,367442,371487,375902,379642,382858,384421,386339,387903,392285,396886,402389,407143,412549,417855,422279,427568,432922,440127,446989,455214,461444,468663,473512,479635,484629,490091,495802,500276,505638,510780,516105,520052,522845,522626,523452,523580,525815,528271,531163,536629,541902,546415,548998,550866,554159,559224,563778,567685,569512,571098,572623,573602,572629,571656,572928,576809,580245,581878,584220,587531,591233,593030,593030,591633,590869,592495,595020,598080,600489,602438,602448,601859,601346,603226,607508,612064,617800,619771,621515,619987,621979,626478,633801,637208,640112,642476,646454,650364,653015,656894,659392,662569,663635,665692,668108,674445,680765,687659,693336,700205,708350,718003,729798,743912,759432,774389,789514,805352
78745,NA,157951,157760,157216,156918,157138,158885,160517,162221,163339,164671,166579,168338,169548,168963,168027,166500,166053,164266,161981,158812,155449,152486,149701,148414,147979,149338,151905,154922,154851,153089,152391,152663,155149,156516,156764,154759,152664,152792,153860,154840,156246,158295,159533,161320,161848,163551,165199,167769,169642,170421,170265,170080,170212,170147,170955,171399,172313,172688,173026,173540,173936,174303,174516,174845,175179,175778,176382,176522,176706,176520,176706,176660,176510,175873,175300,175007,175015,174895,174453,174549,174409,174591,174546,174729,174934,175285,175496,175717,175717,175813,175892,175704,175516,175236,174981,175071,175763,176778,177831,178406,178982,179575,180249,180912,181513,182135,182546,182582,182219,181939,181572,181571,181674,181832,182087,182425,182882,183242,183916,184535,185155,185447,185829,186138,186550,187215,187767,188151,188294,188714,189160,189940,190736,191276,191862,192399,193099,193520,194364,195516,196984,198522,199762,200544,200702,201125,201461,201741,201595,201582,201174,200561,199471,197480,195827,194713,194452,193989,193460,193291,193531,193725,193886,194124,194695,196125,197093,197240,197188,197417,197928,198008,197595,197015,196003,195095,194582,193938,193540,193181,192885,192340,191531,190760,190091,189550,190056,190596,190936,191072,191128,191668,191914,192588,193488,194740,196409,197999,199577,200648,201470,201702,202960,204741,207513,210189,213137,215975,218453,221129,222925,225426,227996,232076,234881,237954,240019,242368,244095,246054,248294,250030,252933,255930,259266,261151,263131,263837,265202,266506,268979,271547,274360,278309,281475,283642,284957,286900,289942,293803,297111,299746,301297,302580,303528,304357,304316,305240,306860,309812,311648,312462,313456,315568,318255,320274,321676,322461,323687,325233,326895,328410,329879,331629,332876,333421,333556,334819,337269,339636,342544,343754,346048,346416,347946,349143,351466,352415,353372,354206,356162,358100,359489,361584,361866,362958,364659,368980,372793,376216,379399,383227,386880,391274,396339,402291,409867,418620,427082,434363,442531,453053
78748,180595,183388,185593,189536,192878,195534,197310,198148,197132,195329,194107,193878,193955,192239,189947,187104,182935,178263,174689,172899,173929,175272,174885,172620,169904,167902,166264,165494,167414,170646,173165,173586,171572,169703,168962,169091,168850,169447,170091,171321,171703,171965,171746,172195,173863,175510,176432,176722,177381,177993,178776,179380,179817,180011,180194,180707,180982,181438,181935,182729,183333,183637,183890,184265,184672,185154,185699,186253,186502,186694,186859,187073,187455,187592,187816,187791,187915,188014,187976,187814,187959,188087,188342,188239,188103,188024,188178,188217,188417,188344,188766,188857,188740,188441,188195,188179,188393,189117,190008,190984,191578,192230,192768,193744,194706,195525,196080,196670,196970,197064,197070,197258,197561,197803,197585,197178,196843,196945,197251,197663,198225,198630,198589,198448,198232,198602,199224,199970,200527,200811,201306,201784,202492,203151,203863,204514,205450,206353,207402,208514,209714,211059,212273,213098,213296,213081,213387,213698,213835,213205,212628,211945,211614,210932,209352,207947,207348,207500,207159,206525,206027,206105,206261,206368,206066,205991,207006,207924,207804,207387,207256,207524,207723,207459,207017,205960,205340,204961,204369,203827,203555,203356,202765,201896,200826,199941,198939,199026,199121,199338,199437,199350,199629,199708,200290,200941,201941,203278,204890,206360,207347,207692,207575,208525,209955,212288,214696,217748,220544,222838,224855,226282,228057,230272,233636,236069,238104,239246,240443,241532,242844,244570,246037,248020,250347,252941,255006,256777,258361,260273,261917,263240,264872,266852,269806,272470,274338,275175,275830,277676,280283,282396,284187,285604,287048,288105,289077,289778,290889,292711,295089,296596,296797,297552,299087,301449,302879,303591,303749,304373,305919,307664,309324,310606,312146,313018,313756,313769,314704,316798,318957,321170,321101,321691,320995,321720,322742,324864,325293,325465,325490,326686,327685,328168,329203,329622,330723,331979,334428,336676,339106,341521,344463,347213,350689,355000,360434,366663,373765,380892,387678,395099,404343
78758,160273,158912,156784,153582,151197,150425,150265,149784,148411,146525,145137,144910,144033,142963,141778,141772,140211,137534,133699,131173,130129,130274,129976,128544,127978,127959,129996,130494,132175,132517,133570,133663,133660,133523,133666,133730,133936,133949,133106,132263,131633,132384,134033,135661,136867,137235,137514,138120,138590,139227,139876,140931,141523,142036,141950,142247,142670,143487,144410,145300,146009,146525,147058,147801,148608,149203,149672,150102,150458,150924,151223,151617,151951,152101,152117,151846,151550,151201,150854,150664,150555,150467,150302,149882,149491,149184,149057,149020,149264,149581,150069,150035,149690,149108,148677,148535,148703,149203,149831,150395,150657,150541,150366,150462,151002,151514,152000,152369,152517,152764,153072,153573,154000,154875,155707,156407,156643,157049,157709,158470,159164,159420,159266,158934,158729,158682,158628,158989,159635,160333,160736,161051,161669,162367,162950,163665,164298,165151,165791,166313,166453,166682,167067,167441,167396,167216,167373,167313,167257,166481,166285,165990,166215,165712,164384,162936,161821,161024,160040,159188,158720,158818,158828,158450,158014,158194,159663,160767,161120,161133,161377,161647,161718,161263,160501,159571,158773,158116,156989,156232,156192,156191,156077,155765,155509,155228,154910,155704,156039,156067,155597,155334,155086,155192,155512,155967,156032,156521,157221,157828,158665,159458,160202,161445,162786,164521,165951,167862,170159,172179,174127,175271,176760,178709,181757,183994,186189,187611,189494,190962,192361,193992,195411,197765,199976,201938,203005,204028,205309,207246,209381,211891,214881,218264,222129,225784,228725,231464,234193,238126,242111,245379,247919,250167,252110,253798,255959,257643,260194,262675,265741,267648,268611,270331,272528,275027,277097,278670,279548,279670,280394,282057,284984,287977,291098,293155,295035,296597,299147,302306,305409,309502,312095,315363,316816,318501,319794,321904,323939,326361,328749,331553,333720,334806,336524,337084,338473,341690,346815,351825,354813,357391,360314,363830,368430,374008,380226,387386,395143,401828,407787,414384,423721
78741,145569,145584,144930,143923,143493,143875,144844,146400,147509,147588,146521,146217,146033,146387,146698,147983,148240,147948,146789,145132,143827,144719,147821,150104,152208,151852,153044,153402,153666,153047,152212,151104,150418,148293,145832,143020,140498,140305,139526,139020,139793,140637,142447,144159,146158,148503,149721,151164,152487,154010,155311,155341,154574,154613,154811,155971,156474,157533,157991,158647,158745,158908,159374,161150,162393,163195,162941,162605,162175,162067,162629,163286,164205,163995,163626,162878,163239,163430,163989,164349,165306,165683,165984,165713,165185,164799,164705,164954,164509,163995,163247,162288,160821,159526,158453,157669,157809,158986,159994,160564,160699,160899,161216,161899,162408,162741,163051,164183,164500,164166,163340,163247,163472,164326,165072,165679,167349,168886,170488,170501,170811,171249,172107,172239,172734,172842,173199,173705,174041,174435,174425,175057,176249,177469,178481,179703,180946,182495,183893,185063,185809,187104,188734,189937,190214,189728,189361,188728,187567,186354,185115,184680,183563,182160,179925,178599,177305,176521,175757,175307,175083,174026,172869,171045,170033,169458,169969,169771,169176,168415,167922,167289,166683,166094,165673,165240,164920,163463,161325,159526,159448,159515,158768,156993,155486,154954,155300,155172,154847,154899,155474,156197,155568,155369,156128,157986,159527,160768,161656,163436,164433,165695,166296,167430,168511,170080,171300,174021,176942,179677,180913,181585,183066,185260,188663,191467,194664,196470,199100,200362,202072,203557,205837,208378,211332,213694,215300,216387,217685,219823,221431,223081,224709,227073,230378,233898,236901,239624,242090,245267,248938,252173,254693,256600,257938,259286,260776,261931,263053,264036,266093,268120,269322,270949,273446,276441,279199,280560,280904,281246,282871,285721,288351,290344,291560,292372,293095,293573,294693,297109,299929,302763,303617,303825,302723,302488,303531,305547,306278,306703,306927,308674,310529,312405,314292,315371,317417,320387,324395,327209,329597,332268,335756,338322,341162,344385,348804,354467,360563,366086,370801,376671,384309
78753,128803,128491,127995,127585,127059,126721,126175,126050,125936,125673,125346,125227,125235,125333,125583,125480,125551,125487,125590,125081,124793,124871,125118,125108,125184,125166,125447,125287,125321,125333,125751,126460,126851,127228,127558,128004,128057,128208,128247,129028,129722,130467,131103,131602,132316,132711,133328,133953,134896,135812,136601,137155,137566,138149,138383,138982,139617,140768,141527,142371,142876,143473,143826,144348,144805,145296,145724,146026,145967,145912,146126,146445,146928,147125,147679,148032,148622,148897,149239,149495,150142,150598,150593,150172,149775,149576,149508,149289,149101,148738,148437,147961,147258,146748,146660,146874,147008,147238,147271,147395,147408,147601,148161,148638,149402,149651,149982,150114,150393,150634,150948,151357,151662,152209,152229,152446,152397,152871,153234,153790,154375,155050,155639,156211,156752,157164,157527,158090,158746,159286,159784,160146,160557,160745,160928,161132,161541,162336,163376,164278,165052,165698,166450,167152,167421,167434,167343,167280,166889,165850,165019,164381,163923,163270,161742,160414,159593,159298,159080,158532,158518,158881,159264,159066,158849,158923,160298,161287,161653,161415,161268,161279,161335,161043,160549,160011,159420,158718,157429,156332,155480,155035,154406,153931,152928,152027,151087,151226,151572,151930,151863,151856,152199,152721,153231,153504,153890,154686,155715,155929,155699,155632,156103,157314,158494,159839,161624,163848,166318,168186,169876,171747,174116,176291,178579,180078,181445,182476,183434,184733,186021,187825,188931,190260,191544,193349,194900,196372,198110,199962,201727,202893,204405,205956,208721,211425,214024,215775,217556,220057,222835,225563,228018,230204,231914,233571,235729,237825,240215,242914,245782,247790,248868,250004,251829,254036,255959,257519,257952,258174,258220,258758,259970,261212,262619,263311,263803,264318,266042,268387,270690,272553,273433,274770,274980,276149,276955,279057,280068,281052,281653,283134,285014,286855,289049,290578,292470,294958,298388,301168,303368,305564,308227,310840,313783,317501,322012,327270,333272,338868,344512,350877,359218
78759,244940,247383,246960,246973,245989,247701,249193,250621,250773,251660,252563,253221,254094,252373,253309,253778,254901,252212,251362,251473,252816,252304,251814,253062,254065,255522,254262,254004,254391,254066,250810,246181,242388,240903,239453,235872,232145,229495,229751,232323,235581,240624,246072,250964,255670,258055,260475,263109,266253,269619,272206,273403,273543,272988,272782,273634,274200,275393,276400,278022,279266,280005,280132,280464,280816,281238,281653,282246,282492,282901,282965,282953,282719,281917,281315,280679,280954,281430,281324,280556,280089,280083,280036,279631,279795,280431,281311,281059,280391,279187,278931,278783,278628,278066,278071,278928,279577,280642,281223,282790,283788,285009,286101,287468,288793,289841,290529,290842,290991,290998,291448,292180,293162,294296,294826,295199,295719,296711,297970,299123,300469,301898,303033,303521,304205,305066,306759,308751,310770,312369,313783,314962,316425,317135,318010,319095,320271,322042,323512,325044,326087,327413,329145,330906,331876,332753,333834,335075,335864,335149,334518,333572,333014,331667,328623,326225,324586,324016,322385,320456,319010,318417,317614,316735,315638,315409,316858,317801,317702,317064,317298,317470,317616,317183,316925,315966,315699,315501,315149,314573,314187,313314,312200,311135,309992,309493,309131,310576,311509,312281,312543,312550,313403,314837,316931,319251,321602,324017,326171,328110,329915,331321,331910,334383,337076,340858,344405,348936,353449,357300,361009,363121,365603,368631,373934,377977,382119,384934,387779,389436,391618,394217,396333,399834,403620,407703,409809,411396,412168,413690,415074,416900,418588,420813,424913,428599,431566,432867,434854,437988,441998,445056,447710,450060,452091,454007,455205,455300,455313,456582,459419,461352,461788,463015,464989,467802,469586,470092,469382,469016,470420,472571,474875,476916,478931,479496,479809,478828,479667,481989,485424,489766,491113,492926,491760,493025,494621,498499,499622,501226,502835,506472,510145,512429,515026,516407,519302,521537,525804,529146,533972,538004,542506,546330,550546,556137,563533,572424,582608,593182,603011,613881,626430
78744,112635,112800,113052,113833,114631,115564,116048,116230,116017,115846,115405,115090,114411,114585,114158,113227,111810,110683,110650,111014,111756,112312,113065,113682,114346,113853,114173,114631,115774,115968,115360,114458,113562,112707,112255,111696,111933,112451,113148,114280,115115,116135,116683,117584,118739,120213,121143,122028,122481,123347,124175,124643,125067,125165,125609,126040,126698,127326,128018,128993,129943,130729,131140,131665,132215,133158,134142,135092,135665,136111,136578,136884,137257,137347,137583,137815,138195,138428,138531,138440,138520,138629,138893,138949,138810,138583,138758,138769,138560,137972,137694,137545,137276,136826,136274,135739,135624,136206,136691,137106,137272,137788,138086,138518,138821,139238,139549,140352,140932,140994,140632,140434,140582,140892,141353,141687,142134,142537,143135,143427,143683,144147,144699,145054,145278,145509,145711,145870,146092,146351,146606,146838,147251,147745,148527,149592,150779,151810,152630,153385,154143,154948,155773,156356,156707,156433,156050,155471,154589,153703,152954,152500,151941,151645,150737,149941,149161,149048,148819,148422,148131,147634,147409,147250,147566,147343,147422,147510,147310,147036,146508,146163,146273,146121,145593,143916,142150,140194,139175,138392,138214,136879,135708,134290,133038,132128,131829,132485,132637,133381,133323,133049,132289,132533,133307,134003,134149,134478,134696,135405,136376,137205,137578,138432,139758,141773,143269,146187,149120,152118,153983,154665,155481,156201,158344,160066,162174,163179,164482,164504,165046,165723,167019,169042,170996,173138,174635,175656,175973,177021,178394,180563,182560,184515,187101,190287,193486,196553,198591,201722,205429,208468,210708,211625,212809,213775,214997,214672,214317,214098,215544,216660,216823,217728,219338,222251,224088,225332,225795,227048,229051,231197,233102,234286,235605,236116,236805,236754,237917,239957,242257,244698,245690,247146,247442,249041,250916,253704,254694,255507,255707,257102,258216,258918,259748,259920,260858,261749,263807,265515,267902,270395,273604,276055,279095,282623,287047,292194,297844,303529,308633,314300,320990
78723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159968,161618,163556,166650,169882,172913,175275,177662,179378,181402,183245,184117,184525,183747,184309,185618,186777,186867,187994,188349,188748,187504,186518,186582,187201,189090,187273,185202,181783,180441,177453,175334,174511,175879,176415,176401,175373,175039,175967,176927,179122,180338,183762,186388,187833,186702,186400,187073,189392,190356,191752,191324,190579,189902,189069,189693,190367,192044,192297,192116,191307,191337,191647,193041,194065,194199,194305,194347,194753,195233,196094,197626,198955,200487,200983,201093,201298,202148,203808,204809,206571,208365,210423,211823,213144,214467,215956,217207,218784,220512,222011,223458,224406,224470,224773,225172,226057,226328,226698,227998,228834,229320,228108,227407,225989,226122,225493,224392,222735,221775,221222,219966,218431,217434,217512,217936,218629,218562,218996,219772,220456,219739,218818,217681,217158,216741,216535,215361,213683,211907,210355,209028,207899,207833,207352,207345,207255,206114,204002,202006,201949,202750,203473,203654,204127,205251,207053,208854,210359,212886,216178,219992,223003,224664,226293,228131,231275,233727,236399,239009,243130,247114,252102,256351,259690,263648,267851,273191,276205,279961,283259,287665,290025,293183,295733,299112,303177,307416,311700,314555,317535,319365,321556,323082,326270,328780,330794,332887,335706,338363,340262,341734,344992,349428,353048,355684,357421,359112,360984,362910,363303,364068,365254,368638,370897,371373,372154,373834,376815,379280,381360,382750,383686,385164,387895,391189,394353,396190,397563,398803,398611,399761,401393,404177,407637,408904,408967,406363,405574,407569,410913,412141,412750,412105,413211,413546,414920,417260,419170,421108,422743,426248,429561,433377,437481,442870,447712,453269,458320,464157,471388,480590,489950,497413,505253,514774
