zip_code,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03
78660,1261,1266,1270,1274,1278,1282,1287,1291,1295,1300,1304,1309,1313,1319,1325,1330,1337,1344,1350,1357,1363,1369,1375,1380,1386,1390,1394,1398,1400,1403,1405,1406,1408,1409,1410,1412,1413,1414,1415,1416,1417,1419,1420,1422,1424,1426,1428,1430,1432,1435,1438,1441,1446,1450,1454,1458,1461,1465,1468,1472,1475,1479,1482,1486,1489,1493,1497,1500,1504,1508,1510,1513,1515,1517,1518,1520,1522,1524,1527,1529,1532,1534,1537,1539,1542,1545,1548
78613,1257,1262,1267,1272,1277,1282,1287,1292,1297,1302,1307,1313,1318,1323,1328,1333,1338,1343,1349,1353,1357,1361,1365,1368,1371,1374,1377,1380,1382,1383,1385,1385,1386,1387,1387,1387,1387,1386,1386,1385,1384,1383,1382,1382,1381,1381,1382,1383,1384,1387,1391,1395,1399,1404,1409,1413,1418,1423,1428,1432,1437,1441,1446,1450,1455,1460,1465,1471,1477,1483,1486,1490,1493,1494,1496,1498,1499,1499,1500,1501,1502,1502,1503,1504,1505,1506,1507
78704,1388,1402,1417,1432,1446,1461,1475,1489,1503,1518,1530,1543,1555,1565,1575,1585,1594,1603,1612,1619,1626,1633,1640,1646,1653,1657,1661,1665,1667,1669,1671,1672,1673,1674,1674,1674,1675,1675,1675,1676,1676,1676,1676,1677,1679,1681,1686,1691,1696,1705,1713,1722,1732,1742,1752,1761,1770,1779,1786,1793,1800,1806,1811,1817,1821,1825,1829,1833,1836,1839,1837,1834,1832,1826,1819,1813,1807,1802,1797,1793,1789,1785,1781,1778,1774,1771,1768
78666,NA,NA,1097,NA,1078,1069,1061,1052,1044,1036,1027,NA,1026,1025,1030,1035,1041,1047,1053,1059,1065,1071,1078,1084,1090,1096,1101,1107,1112,1117,1122,1127,1133,1138,1143,1146,1149,1153,1154,1155,1157,1158,1160,1161,1163,1165,1166,1168,1171,1173,1176,1179,1182,1185,1188,1191,1194,1197,1200,1203,1206,1210,1213,1216,1220,1222,1224,1226,1227,1227,1227,1227,1227,1226,1229,1231,1234,1240,1247,1254,1261,1268,1275,1283,1290,1298,1306
78745,1006,1018,1030,1042,1053,1065,1076,1088,1099,1111,1123,1135,1147,1155,1163,1170,1176,1182,1188,1193,1197,1202,1205,1208,1211,1214,1217,1221,1224,1228,1232,1235,1238,1241,1244,1246,1249,1251,1252,1254,1255,1256,1257,1258,1258,1259,1260,1262,1264,1266,1269,1272,1275,1278,1280,1284,1289,1293,1298,1303,1307,1313,1318,1323,1329,1335,1341,1347,1352,1357,1360,1363,1366,1368,1370,1372,1373,1374,1375,1376,1377,1378,1379,1380,1380,1382,1383
78641,1291,1295,1300,1304,1308,1313,1317,1322,1326,1331,1336,1341,1346,1351,1355,1360,1365,1370,1375,1380,1385,1391,1396,1401,1406,1412,1417,1422,1425,1429,1433,1435,1438,1440,1442,1443,1445,1445,1444,1443,1442,1441,1439,1439,1440,1440,1441,1442,1444,1446,1449,1451,1454,1457,1460,1461,1462,1463,1463,1463,1464,1467,1470,1473,1478,1482,1487,1493,1498,1504,1510,1516,1523,1528,1534,1540,1547,1553,1560,1567,1574,1582,1589,1596,1604,1611,1619
78748,1006,1017,NA,1040,1051,1062,1073,1084,1095,1105,1115,1125,1134,1140,1145,1151,1153,1156,1159,1163,1167,1172,1177,1182,1188,1192,1196,1201,1204,1208,1212,1214,1216,1218,1220,1222,1224,1225,1226,1227,1227,1226,1226,1225,1225,1224,1224,1224,1224,1226,1229,1231,1237,1242,1248,1255,1262,1268,1276,1283,1291,1298,1305,1312,1318,1324,1329,1333,1336,1340,1341,1342,1342,1343,1344,1345,1346,1348,1350,1352,1354,1356,1358,1360,1362,1364,1367
78758,1042,1055,1068,1082,1094,1107,1120,1133,1146,1159,1170,1182,1193,1200,1207,1214,1220,1226,1233,1240,1248,1256,1266,1276,1286,1295,1305,1315,1322,1329,1336,1340,1343,1347,1348,1350,1351,1352,1353,1353,1354,1354,1354,1355,1356,1357,1361,1365,1368,1375,1382,1388,1396,1405,1413,1421,1430,1438,1446,1454,1461,1467,1473,1479,1484,1490,1495,1500,1504,1509,1509,1510,1510,1507,1504,1501,1495,1489,1483,1477,1471,1465,1459,1453,1447,1441,1435
78741,NA,NA,NA,1124,1130,1136,1142,1148,1154,1160,1166,1172,1179,1184,1190,1196,1203,1210,1217,1223,1229,1236,1242,1248,1254,1263,1271,1280,1286,1293,1300,1304,1308,1312,1315,1318,1321,1322,1324,1325,1325,1325,1325,1326,1327,1328,1331,1333,1336,1340,1343,1347,1352,1357,1362,1368,1373,1379,1384,1389,1394,1397,1401,1405,1407,1409,1412,1412,1412,1412,1409,1407,1404,1401,1398,1394,1394,1393,1392,1392,1392,1392,1393,1393,1394,1395,1395
78664,1193,1201,1209,1217,1224,1232,1239,1247,1255,1262,1270,1278,1285,1292,1299,1305,1311,1317,1323,1328,1334,1339,1344,1348,1353,1357,1361,1365,1369,1372,1376,1379,1382,1385,1387,1389,1392,1393,1394,1395,1395,1396,1397,1398,1399,1400,1402,1405,1407,1410,1414,1417,1421,1424,1428,1431,1435,1439,1443,1447,1451,1455,1460,1465,1471,1478,1485,1491,1498,1504,1509,1514,1519,1523,1528,1532,1537,1542,1546,1552,1557,1563,1569,1575,1580,1586,1593
78753,947,947,947,947,947,947,948,949,949,950,954,958,962,968,975,981,988,995,1003,1009,1015,1021,1025,1029,1032,1036,1039,1042,1045,1048,1051,1054,1057,1060,1063,1066,1069,1072,1074,1077,1079,1080,1082,1084,1086,1087,1090,1093,1095,1099,1102,1105,1109,1113,1116,1121,1125,1129,1134,1139,1144,1151,1157,1164,1172,1180,1188,1195,1202,1209,1213,1216,1220,1222,1225,1227,1229,1231,1232,1234,1236,1238,1240,1243,1245,1248,1250
78759,1097,1109,NA,1132,1143,1153,1164,1174,1185,1195,1202,1208,1214,1219,1223,1227,1233,1238,1244,1251,1258,1266,1272,1278,1284,1288,1292,1296,1300,1303,1307,1310,1313,1316,1318,1321,1323,1323,1324,1325,1323,1322,1320,1318,1316,1314,1315,1315,1315,1318,1321,1324,1331,1338,1345,1353,1361,1369,1376,1383,1390,1396,1403,1410,1416,1421,1427,1431,1434,1437,1436,1435,1434,1428,1421,1415,1406,1398,1389,1381,1374,1366,1359,1352,1344,1338,1331
78640,1156,1164,1172,1180,1188,1196,1203,1210,1218,1225,1231,1238,1245,1248,1251,1254,1256,1258,1260,1263,1267,1270,1275,1279,1283,1287,1292,1296,1300,1303,1307,1310,1314,1317,1319,1322,1324,1326,1328,1330,1332,1334,1335,1337,1339,1341,1343,1346,1348,1351,1354,1357,1358,1360,1362,1364,1366,1368,1371,1374,1377,1380,1383,1387,1391,1395,1399,1403,1406,1410,1413,1415,1418,1420,1422,1425,1429,1433,1437,1442,1447,1452,1456,1461,1466,1471,1476
78665,1234,1244,1254,1263,1272,1280,1289,1296,1304,1312,1317,1322,1326,1327,1328,1328,1330,1331,1333,1338,1343,1349,1354,1360,1366,1368,1371,1373,1373,1373,1373,1371,1369,1366,1363,1359,1355,1351,1347,1343,1341,1339,1337,1337,1338,1338,1340,1342,1344,1346,1348,1351,1352,1353,1355,1355,1356,1357,1359,1361,1363,1365,1367,1369,1370,1372,1374,1377,1380,1383,1386,1390,1394,1398,1402,1407,1411,1415,1420,1424,1429,1434,1438,1442,1447,1451,1455
78744,968,985,1002,1019,1035,1051,1068,1083,1099,1115,1128,1142,NA,1161,NA,1173,1179,1185,1191,1199,NA,1215,1222,1229,1236,NA,1248,1253,1256,1259,1262,1262,1263,1263,1265,1266,1268,1268,1269,1270,1270,1270,1271,1271,1271,1271,1272,1273,1274,1278,1282,1285,1291,1297,1303,1310,1317,1324,1331,1338,1346,1352,1358,1364,1370,1375,1381,1386,1390,1395,1398,1400,1403,1403,1402,1402,1398,1395,1391,1387,1383,1379,1375,1370,1366,1361,1357
78723,1148,NA,1168,1177,1187,1197,1207,1216,1226,1236,1247,1258,1269,1282,1294,1307,1317,1327,1337,1346,1354,1363,1369,1375,1381,1384,1386,1389,1391,1393,1395,1398,1401,1404,1407,1411,1415,1418,1421,1424,1427,1430,1433,1435,1438,1441,1446,1451,1456,1464,1471,1478,1486,1494,1502,1509,1517,1524,1533,1541,1549,1558,1566,1575,1583,1591,1599,1606,1613,1620,1622,1624,1625,1624,1622,1620,1620,1619,1619,1619,1620,1620,1621,1622,1622,1624,1625
78628,1219,NA,1219,1219,1220,NA,1222,1224,1225,1227,1232,1237,1243,1250,1258,1266,1273,1279,1286,1291,1296,1300,1304,NA,1312,1318,1323,1328,1333,1338,1343,1346,1349,1352,1354,1357,1359,1362,1365,1368,1373,1377,1382,1387,1392,1397,1400,1404,1407,1410,1413,1415,1417,1418,1420,1419,1419,1419,1421,1423,1426,1431,1436,1440,1447,1454,1460,1468,1476,1484,1488,1492,1496,1494,1492,1490,1486,1482,1479,1477,1475,1473,1472,1470,1468,1467,1466
78729,1067,1075,1083,1091,1098,1106,1113,1121,1129,1136,1144,1152,1160,1166,1171,1176,1181,1185,1190,1194,1199,1204,1208,1212,1216,1218,1221,1223,1224,1224,1225,1224,1224,1224,1223,1223,1222,1223,1224,1225,1227,1230,1232,1234,1235,1237,1239,1241,1243,1245,1248,1250,1253,1256,1259,1262,1266,1269,1272,1276,1280,1283,1287,1291,1295,1299,1303,1306,1310,1313,1314,1315,1316,1315,1314,1313,1311,1309,1308,1306,1304,1303,1301,1299,1298,1296,1295
78717,1264,NA,1280,1288,1296,1303,1311,1319,1327,1335,1342,1350,1357,1362,1367,1373,1376,1379,1382,1385,1387,1389,1391,1393,1395,1396,1396,1397,1397,1397,1397,1398,1398,1399,1399,1399,1399,1399,1398,1398,1397,1396,1395,1393,1392,1390,1390,1390,1390,1393,1397,1400,1406,1411,1417,1422,1428,1434,1441,1447,1453,1461,1468,1475,1484,1492,1500,1505,1510,1515,1514,1514,1514,1511,1508,1504,1503,1501,1499,1498,1497,1496,1496,1496,1496,1496,1497
78731,1397,1400,1402,1405,1408,1410,1413,1417,1420,1423,NA,1434,1440,1446,1452,1458,1463,1467,1472,1475,1478,1481,1483,1485,1487,1489,1491,1492,1493,1494,1495,1496,1497,1498,1499,1500,1500,1501,1501,1502,1501,1500,1500,1501,1501,1502,1505,1509,1512,1519,1526,1532,1542,1551,1561,1570,1579,1587,1596,1604,1613,1620,1628,1635,1642,1650,1657,1663,1668,1674,1674,1675,1675,1671,1668,1664,1661,1658,1655,1653,1651,1650,1648,1647,1646,1645,1645
78626,NA,1143,1149,1155,1161,1167,1174,1180,1186,1193,1200,1206,1213,1220,1226,1233,1239,1245,1251,1255,1260,1264,1269,1273,1278,1282,1285,1289,1292,1295,1298,1301,1304,1307,1310,1313,1315,1317,1319,1321,1322,1323,1324,1325,1326,1327,1329,1331,1332,1334,1337,1339,1341,1344,1347,1349,1352,1355,1358,1361,1364,1368,1373,1377,1381,1386,1390,1392,1394,1396,1395,1394,1393,1391,1389,1388,1390,1392,1394,1397,1400,1404,1408,1412,1416,1420,1425
78705,1317,1319,1321,1323,1325,1327,1329,1330,1332,1333,1335,1337,1339,1344,1349,1353,1359,1364,1369,1376,1383,1390,1396,1401,1407,1408,1409,1410,1409,1408,1407,1407,1408,1408,1410,1412,1414,1415,1416,1417,1417,1418,1418,1418,1418,1419,1419,1420,1421,1424,1428,1432,1438,1443,1449,1455,1460,1465,1470,1474,1479,1486,1493,1500,1507,1514,1521,1525,1530,1534,1534,1535,1535,1529,1523,1516,1508,1500,1492,1486,1480,1474,1468,1462,1456,1450,1445
78634,NA,1239,1244,1249,1254,1259,1264,1269,1274,1279,1284,1289,1294,1299,1303,1308,1313,1319,1324,1329,1335,1340,1345,1349,1353,1357,1360,1364,1366,1367,1369,1370,1371,NA,1377,1381,1385,1389,1392,1396,1399,1402,1405,1407,1409,1411,1412,1412,1412,1413,1415,1416,1421,1425,1429,1433,1437,1441,1444,1448,1451,1454,1457,1460,1463,1466,1469,1474,1478,1482,1488,1494,1499,1506,1512,1519,1523,1528,1532,1536,1541,1545,1549,1553,1557,1561,1565
78728,996,1010,1025,1039,1053,1067,1082,1095,1109,1122,NA,1146,NA,1166,1173,1181,1186,1191,1196,1201,1205,1210,1214,1218,1222,1226,1230,1234,1236,1237,1238,1236,1234,1231,1230,1229,1228,1229,1229,1230,1233,1237,1240,1246,1252,1257,1261,1264,1268,1270,1272,1275,1277,1279,1281,1283,1284,1286,1288,1291,1293,1295,1297,1299,1301,1304,1306,1310,1314,1318,1321,1324,1328,1330,1333,1336,1336,1335,1335,1335,1334,1334,1333,1332,1331,1330,1329
78746,1402,1412,1423,1434,NA,1456,1467,1477,1488,1499,1511,NA,1533,1540,NA,1553,1554,1556,1557,1558,1558,1559,1559,1560,1560,1557,1553,1550,1547,1543,1540,1537,NA,1532,1531,1530,1529,1532,1534,1537,1540,1543,1546,1545,1545,1545,1546,1547,1548,1554,1559,1565,1572,1579,1587,1596,1604,1613,1622,1630,1638,1646,1653,1660,1668,1675,1683,1688,1693,1699,1699,1699,1699,1696,1692,1689,1686,1684,1682,1681,1680,1679,1679,1678,1678,1678,1678
78703,1694,NA,NA,1757,1775,1793,1811,NA,1846,1863,1867,1872,1876,1873,1869,1866,1870,1874,1879,1886,1894,1901,1911,1921,1931,1938,1945,1953,1956,1958,1961,1965,1968,1972,1973,1974,1975,1973,1971,1969,1966,1963,1959,1957,1954,1952,1955,1959,1962,1971,1980,1989,2000,2012,2023,2035,2046,2058,2068,2078,2089,2101,2113,2125,2135,2145,2155,2157,2159,2161,2156,2151,2147,2138,2129,2120,2115,2110,2106,2104,2102,2099,2098,2097,2096,2096,2097
78750,1148,1159,1169,1180,1189,1199,1209,1219,1229,1238,1247,1255,1263,1269,1275,1281,1285,1290,1294,1298,1303,1307,1311,1315,1319,1322,1325,1328,1332,1336,1339,1343,1346,1349,1350,1352,1353,1353,1353,1353,1353,1353,1353,1352,1352,1351,1352,1353,1353,1356,1358,1360,1362,1365,1367,1370,1374,1377,1382,1388,1393,1399,1404,1410,1418,1425,1433,1439,1446,1453,1456,1460,1464,1466,1469,1471,1473,1475,1477,1478,1480,1481,1483,1485,1486,1488,1490
