Permit Class,Original Zip,ProjectID
C- 329 Com Structures Other Than Bldg,78704,1
C- 647 Demolition 3 and 4 Family Bldgs,78701,1
C- 647 Demolition 3 and 4 Family Bldgs,78702,3
C- 647 Demolition 3 and 4 Family Bldgs,78703,3
C- 647 Demolition 3 and 4 Family Bldgs,78704,3
C- 647 Demolition 3 and 4 Family Bldgs,78705,12
C- 647 Demolition 3 and 4 Family Bldgs,78723,1
C- 647 Demolition 3 and 4 Family Bldgs,78741,1
C- 647 Demolition 3 and 4 Family Bldgs,78745,2
C- 647 Demolition 3 and 4 Family Bldgs,78753,1
C- 647 Demolition 3 and 4 Family Bldgs,78757,1
C- 647 Demolition 3 and 4 Family Bldgs,78759,2
C- 648 Demolition 5 or More Family Bldgs,78701,5
C- 648 Demolition 5 or More Family Bldgs,78702,12
C- 648 Demolition 5 or More Family Bldgs,78703,2
C- 648 Demolition 5 or More Family Bldgs,78704,30
C- 648 Demolition 5 or More Family Bldgs,78705,13
C- 648 Demolition 5 or More Family Bldgs,78721,9
C- 648 Demolition 5 or More Family Bldgs,78723,3
C- 648 Demolition 5 or More Family Bldgs,78729,1
C- 648 Demolition 5 or More Family Bldgs,78731,1
C- 648 Demolition 5 or More Family Bldgs,78741,15
C- 648 Demolition 5 or More Family Bldgs,78746,1
C- 648 Demolition 5 or More Family Bldgs,78751,2
C- 648 Demolition 5 or More Family Bldgs,78752,1
C- 648 Demolition 5 or More Family Bldgs,78756,1
C- 648 Demolition 5 or More Family Bldgs,78757,1
C- 649 Demolition All Other Bldgs Com,78617,24
C- 649 Demolition All Other Bldgs Com,78660,2
C- 649 Demolition All Other Bldgs Com,78701,202
C- 649 Demolition All Other Bldgs Com,78702,162
C- 649 Demolition All Other Bldgs Com,78703,78
C- 649 Demolition All Other Bldgs Com,78704,251
C- 649 Demolition All Other Bldgs Com,78705,127
C- 649 Demolition All Other Bldgs Com,78712,1
C- 649 Demolition All Other Bldgs Com,78717,4
C- 649 Demolition All Other Bldgs Com,78719,32
C- 649 Demolition All Other Bldgs Com,78721,21
C- 649 Demolition All Other Bldgs Com,78722,25
C- 649 Demolition All Other Bldgs Com,78723,44
C- 649 Demolition All Other Bldgs Com,78724,3
C- 649 Demolition All Other Bldgs Com,78725,10
C- 649 Demolition All Other Bldgs Com,78726,7
C- 649 Demolition All Other Bldgs Com,78727,3
C- 649 Demolition All Other Bldgs Com,78728,7
C- 649 Demolition All Other Bldgs Com,78729,22
C- 649 Demolition All Other Bldgs Com,78730,8
C- 649 Demolition All Other Bldgs Com,78731,33
C- 649 Demolition All Other Bldgs Com,78732,4
C- 649 Demolition All Other Bldgs Com,78733,4
C- 649 Demolition All Other Bldgs Com,78734,1
C- 649 Demolition All Other Bldgs Com,78735,9
C- 649 Demolition All Other Bldgs Com,78736,5
C- 649 Demolition All Other Bldgs Com,78741,84
C- 649 Demolition All Other Bldgs Com,78742,5
C- 649 Demolition All Other Bldgs Com,78744,22
C- 649 Demolition All Other Bldgs Com,78745,108
C- 649 Demolition All Other Bldgs Com,78746,27
C- 649 Demolition All Other Bldgs Com,78747,1
C- 649 Demolition All Other Bldgs Com,78748,34
C- 649 Demolition All Other Bldgs Com,78749,5
C- 649 Demolition All Other Bldgs Com,78750,30
C- 649 Demolition All Other Bldgs Com,78751,30
C- 649 Demolition All Other Bldgs Com,78752,32
C- 649 Demolition All Other Bldgs Com,78753,49
C- 649 Demolition All Other Bldgs Com,78754,7
C- 649 Demolition All Other Bldgs Com,78756,60
C- 649 Demolition All Other Bldgs Com,78757,83
C- 649 Demolition All Other Bldgs Com,78758,40
C- 649 Demolition All Other Bldgs Com,78759,51
R-2001 Relocation Residential,78704,1
R- 645 Demolition One Family Homes,78613,1
R- 645 Demolition One Family Homes,78617,20
R- 645 Demolition One Family Homes,78653,3
R- 645 Demolition One Family Homes,78660,1
R- 645 Demolition One Family Homes,78701,47
R- 645 Demolition One Family Homes,78702,1069
R- 645 Demolition One Family Homes,78703,734
R- 645 Demolition One Family Homes,78704,1286
R- 645 Demolition One Family Homes,78705,117
R- 645 Demolition One Family Homes,78717,5
R- 645 Demolition One Family Homes,78721,354
R- 645 Demolition One Family Homes,78722,110
R- 645 Demolition One Family Homes,78723,96
R- 645 Demolition One Family Homes,78724,20
R- 645 Demolition One Family Homes,78725,8
R- 645 Demolition One Family Homes,78726,2
R- 645 Demolition One Family Homes,78727,26
R- 645 Demolition One Family Homes,78728,3
R- 645 Demolition One Family Homes,78729,5
R- 645 Demolition One Family Homes,78730,22
R- 645 Demolition One Family Homes,78731,351
R- 645 Demolition One Family Homes,78732,10
R- 645 Demolition One Family Homes,78733,23
R- 645 Demolition One Family Homes,78734,10
R- 645 Demolition One Family Homes,78735,24
R- 645 Demolition One Family Homes,78736,9
R- 645 Demolition One Family Homes,78737,2
R- 645 Demolition One Family Homes,78741,198
R- 645 Demolition One Family Homes,78742,46
