Year Month,Postal Code,Customer Class,Total Gallons
201201,78613,Commercial,2880800
201201,78613,Irrigation - Commercial,855400
201201,78617,Austin Water Utility,438700
201201,78617,City of Austin,6500300
201201,78617,Commercial,9162600
201201,78617,Irrigation - City of Austin,0
201201,78617,Irrigation - Commercial,585800
201201,78640,Commercial,57900
201201,78652,Commercial,156300
201201,78652,Irrigation - Commercial,39900
201201,78653,Commercial,101600
201201,78653,Irrigation - Commercial,50900
201201,78653,Wholesale,0
201201,78660,Commercial,3635300
201201,78660,Irrigation - Commercial,1538500
201201,78660,Wholesale,26510300
201201,78681,City of Austin,3500
201201,78681,Irrigation - City of Austin,26000
201201,78701,Austin Water Utility,96000
201201,78701,City of Austin,3688300
201201,78701,Commercial,58017300
201201,78701,Irrigation - City of Austin,691500
201201,78701,Irrigation - Commercial,1335900
201201,78701,Large Volume,174400
201201,78702,Austin Water Utility,78000
201201,78702,City of Austin,1029600
201201,78702,Commercial,26550300
201201,78702,Irrigation - City of Austin,732600
201201,78702,Irrigation - Commercial,1327600
201201,78703,Austin Water Utility,0
201201,78703,City of Austin,898000
201201,78703,Commercial,16286500
201201,78703,Irrigation - City of Austin,143100
201201,78703,Irrigation - Commercial,904800
201201,78704,Austin Water Utility,605800
201201,78704,City of Austin,1171000
201201,78704,Commercial,33067000
201201,78704,Irrigation - City of Austin,71500
201201,78704,Irrigation - Commercial,1991300
201201,78705,City of Austin,83300
201201,78705,Commercial,25113800
201201,78705,Irrigation - City of Austin,400
201201,78705,Irrigation - Commercial,917600
201201,78705,Large Volume,2735600
201201,78710,Commercial,55900
201201,78710,Irrigation - Commercial,218300
201201,78712,Commercial,4236900
201201,78712,Irrigation - Commercial,529800
201201,78712,Irrigation - Large Volume,11155600
201201,78712,Large Volume,7472900
201201,78714,Commercial,246200
201201,78714,Irrigation - Commercial,30000
201201,78717,City of Austin,0
201201,78717,Commercial,4208700
201201,78717,Irrigation - City of Austin,0
201201,78717,Irrigation - Commercial,3921900
201201,78719,Austin Water Utility,137700
201201,78719,City of Austin,2625100
201201,78719,Commercial,3383200
201201,78719,Irrigation - City of Austin,115300
201201,78719,Irrigation - Commercial,340200
201201,78719,Wholesale,1615400
201201,78721,Austin Water Utility,11100
201201,78721,City of Austin,90100
201201,78721,Commercial,7376200
201201,78721,Irrigation - City of Austin,10200
201201,78721,Irrigation - Commercial,362600
201201,78722,City of Austin,40700
201201,78722,Commercial,4666300
201201,78722,Irrigation - City of Austin,1923000
201201,78722,Irrigation - Commercial,211800
201201,78723,Austin Water Utility,0
201201,78723,City of Austin,172400
201201,78723,Commercial,13654800
201201,78723,Irrigation - City of Austin,1000
201201,78723,Irrigation - Commercial,2431500
201201,78724,Austin Water Utility,800900
201201,78724,City of Austin,1395100
201201,78724,Commercial,3482300
201201,78724,Irrigation - City of Austin,0
201201,78724,Irrigation - Commercial,2256000
201201,78725,Austin Water Utility,233500
201201,78725,City of Austin,25100
201201,78725,Commercial,5222100
201201,78725,Irrigation - Commercial,80600
201201,78725,Large Volume,21456100
201201,78725,Wholesale,1166100
201201,78726,Austin Water Utility,0
201201,78726,City of Austin,301000
201201,78726,Commercial,6281400
201201,78726,Irrigation - Commercial,1740200
201201,78727,City of Austin,27000
201201,78727,Commercial,13484000
201201,78727,Irrigation - City of Austin,0
201201,78727,Irrigation - Commercial,2461200
201201,78728,Commercial,3083900
201201,78728,Irrigation - Commercial,1144600
201201,78728,Large Volume,17888000
201201,78728,Wholesale,37528200
201201,78729,City of Austin,12900
201201,78729,Commercial,9458700
201201,78729,Irrigation - City of Austin,0
201201,78729,Irrigation - Commercial,2042800
201201,78729,Wholesale,24256800
201201,78730,Commercial,2140800
201201,78730,Irrigation - Commercial,1936800
201201,78731,Austin Water Utility,0
201201,78731,City of Austin,87600
201201,78731,Commercial,18718900
201201,78731,Irrigation - City of Austin,8000
201201,78731,Irrigation - Commercial,2361500
201201,78732,Commercial,3538400
201201,78732,Irrigation - Commercial,6900
201201,78735,Austin Water Utility,0
201201,78735,City of Austin,289000
201201,78735,Commercial,7290200
201201,78735,Irrigation - Commercial,2491100
201201,78735,Large Volume,12060000
201201,78735,Wholesale,339100
201201,78736,Commercial,1369400
201201,78736,Irrigation - Commercial,309300
201201,78737,Commercial,1137400
201201,78737,Irrigation - Commercial,161100
201201,78737,Wholesale,478000
201201,78739,City of Austin,9000
201201,78739,Commercial,1453300
201201,78739,Irrigation - City of Austin,0
201201,78739,Irrigation - Commercial,931100
201201,78739,Wholesale,10531500
201201,78741,Austin Water Utility,34000
201201,78741,City of Austin,295400
201201,78741,Commercial,14762100
201201,78741,Irrigation - City of Austin,266200
201201,78741,Irrigation - Commercial,2225600
201201,78741,Large Volume,31206300
201201,78742,Commercial,378700
201201,78742,Irrigation - Commercial,39900
201201,78744,Austin Water Utility,355000
201201,78744,City of Austin,989100
201201,78744,Commercial,20377700
