Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A01003B_001,SE_A01003B_002,SE_A01003B_003,SE_A01003B_004,SE_A01003B_005,SE_A01003B_006,SE_A01003B_007,SE_A01003B_008,SE_A01003B_009,SE_A01003B_010,SE_A12005B_001,SE_A12005B_002,SE_A12005B_003,SE_A12005B_004,SE_A12005B_005,SE_A14003B_001,SE_A14003B_002,SE_A14003B_003,SE_A14003B_004,SE_A14003B_005,SE_A14003B_006,SE_A14003B_007,SE_A14003B_008,SE_A14003B_009,SE_A14003B_010,SE_A14003B_011,SE_A14003B_012,SE_A14016_001,SE_A14028_001,SE_A10036_001,SE_A10038_001,SE_A10038_002,SE_A10038_003,SE_A10038_004,SE_A10038_005,SE_A10038_006,SE_A10038_007,SE_A10038_008,SE_A10038_009,SE_A10038_010,SE_A10038_011,SE_A10039B_001,SE_A10039B_002,SE_A10039B_003,SE_A10039B_004,SE_A10039B_005,SE_A10039B_006,SE_A10039B_007,SE_A10039B_008,SE_A10039B_009,SE_A10039B_010,SE_A10039B_011,SE_A10039B_012,SE_A10039B_013,SE_A10039B_014,SE_A10039B_015,SE_A10039B_016,SE_A10039B_017,SE_A10039B_018,SE_A10039B_019,SE_A10039B_020,SE_A10039B_021,SE_A10039B_022,SE_A10039B_023
"78778701","86000US78701","ZCTA5 78701","ZCTA5 78701","us","860","00","ACSSF","0037977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78701",,,,,,,,,,,,,10848,9262,401,31,662,22,258,212,4268,369,1933,863,385,230,201,245,42,0,4268,107,179,601,3381,4268,257,94,68,92,178,161,223,447,410,802,1536,109714,0.517,448100,4268,84,42,153,128,299,914,881,853,808,106,4268,376,17,0,359,339,0,0,339,223,31,41,151,428,6,25,397,2686,1575,916,195,110,106
"78778702","86000US78702","ZCTA5 78702","ZCTA5 78702","us","860","00","ACSSF","0037978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78702",,,,,,,,,,,,,23671,16613,3791,75,637,11,1702,842,5609,260,2503,885,721,373,224,424,101,118,5609,892,986,1117,2614,5609,337,442,498,384,270,561,403,603,553,865,693,45045,0.5002,399400,5609,730,501,658,322,930,1150,812,260,104,142,5609,1395,87,324,984,752,156,91,505,383,42,72,269,603,110,300,193,2107,1316,606,185,227,142
"78778703","86000US78703","ZCTA5 78703","ZCTA5 78703","us","860","00","ACSSF","0037979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78703",,,,,,,,,,,,,20407,17868,263,10,1726,0,195,345,4332,240,2104,891,407,152,258,144,125,11,4332,97,50,610,3575,4332,234,46,50,87,294,501,552,780,420,565,803,59821,0.5348,849600,4332,0,24,792,336,923,989,467,296,350,155,4332,256,0,0,256,781,0,54,727,543,11,265,267,761,90,391,280,1755,1001,683,71,81,155
"78778704","86000US78704","ZCTA5 78704","ZCTA5 78704","us","860","00","ACSSF","0037980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78704",,,,,,,,,,,,,48746,42300,2100,350,1708,21,686,1581,16133,1425,7701,3390,1424,860,431,651,179,72,16133,908,1457,3637,10131,16133,839,600,486,523,700,1485,1684,3641,2330,2423,1422,61854,0.5065,553300,16133,685,289,704,1459,5554,4544,1683,626,252,337,16133,1800,79,143,1578,2148,138,17,1993,1648,34,317,1297,3561,349,1800,1412,6090,3681,1925,484,549,337
"78778705","86000US78705","ZCTA5 78705","ZCTA5 78705","us","860","00","ACSSF","0037981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78705",,,,,,,,,,,,,34549,24310,2694,166,5378,18,889,1094,7998,4567,2421,337,316,91,143,51,41,31,7998,96,652,3994,3256,7998,2051,957,769,480,393,708,712,742,482,476,228,17352,0.6656,431300,7998,93,38,423,1189,2765,1733,865,289,303,300,7998,3192,11,91,3090,1055,0,20,1035,681,12,254,415,720,81,390,249,1143,720,345,78,907,300
"78778712","86000US78712","ZCTA5 78712","ZCTA5 78712","us","860","00","ACSSF","0037982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78712",,,,,,,,,,,,,880,657,150,0,29,0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78778717","86000US78717","ZCTA5 78717","ZCTA5 78717","us","860","00","ACSSF","0037983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78717",,,,,,,,,,,,,30657,18095,1404,260,8716,48,772,1362,4491,309,1438,1231,663,261,207,250,132,0,4491,7,582,1575,2327,4491,93,27,117,38,220,241,724,1095,723,795,418,64825,0.3945,369200,4491,12,0,59,191,2534,1063,388,208,27,9,4491,266,0,0,266,461,0,0,461,724,0,177,547,1095,53,588,454,1936,1341,474,121,0,9
"78778719","86000US78719","ZCTA5 78719","ZCTA5 78719","us","860","00","ACSSF","0037984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78719",,,,,,,,,,,,,1709,973,104,0,4,0,585,43,77,0,0,22,0,42,4,9,0,0,77,31,39,7,0,77,6,18,0,0,4,13,20,9,0,7,0,32019,0.3248,144000,77,0,9,22,0,33,0,0,0,0,13,77,18,0,0,18,17,0,17,0,20,5,0,15,9,9,0,0,0,0,0,0,0,13
"78778721","86000US78721","ZCTA5 78721","ZCTA5 78721","us","860","00","ACSSF","0037985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78721",,,,,,,,,,,,,12110,6463,3093,147,163,0,1882,362,1986,200,433,537,273,90,139,121,148,45,1986,517,427,489,553,1986,228,111,162,264,141,219,187,181,98,182,213,28504,0.5082,284400,1986,25,215,318,147,579,441,135,59,23,44,1986,603,22,46,535,355,13,34,308,159,0,49,110,181,25,106,50,493,372,121,0,151,44
"78778722","86000US78722","ZCTA5 78722","ZCTA5 78722","us","860","00","ACSSF","0037986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78722",,,,,,,,,,,,,7180,5523,999,9,156,0,193,300,1828,122,926,341,121,100,130,72,16,0,1828,80,206,355,1187,1828,62,35,134,72,45,191,232,406,206,297,148,60293,0.4403,423100,1828,9,0,111,250,645,422,222,113,29,27,1828,271,9,0,262,236,0,0,236,232,0,49,183,406,59,289,58,637,201,365,71,19,27
"78778723","86000US78723","ZCTA5 78723","ZCTA5 78723","us","860","00","ACSSF","0037987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78723",,,,,,,,,,,,,35725,22094,6724,119,1003,0,4371,1414,7285,509,2541,1463,1115,474,390,419,286,88,7285,1746,1452,1803,2284,7285,413,414,438,618,710,900,972,1150,784,550,336,37784,0.4908,338100,7285,243,142,704,1540,2783,1134,425,128,25,161,7285,1651,0,129,1522,1590,25,9,1556,972,66,334,572,1127,208,598,321,1640,1002,555,83,144,161
"78778724","86000US78724","ZCTA5 78724","ZCTA5 78724","us","860","00","ACSSF","0037988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78724",,,,,,,,,,,,,25723,11176,5344,325,83,31,8008,756,2369,123,879,779,343,120,25,68,19,13,2369,935,700,543,191,2369,251,10,286,48,203,386,461,391,71,210,52,35015,0.4114,147400,2369,0,34,67,430,1406,314,79,0,0,39,2369,455,0,0,455,589,0,0,589,461,17,139,305,391,52,153,186,333,267,66,0,101,39
"78778725","86000US78725","ZCTA5 78725","ZCTA5 78725","us","860","00","ACSSF","0037989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78725",,,,,,,,,,,,,8469,3368,1406,0,113,0,3372,210,466,0,119,107,105,12,111,12,0,0,466,130,122,197,17,466,50,0,34,0,0,42,173,107,40,13,7,39000,0.3998,167700,466,0,0,10,50,137,233,0,7,0,29,466,84,0,0,84,42,0,0,42,156,0,0,156,107,10,34,63,48,48,0,0,0,29
"78778726","86000US78726","ZCTA5 78726","ZCTA5 78726","us","860","00","ACSSF","0037990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78726",,,,,,,,,,,,,14040,10579,475,39,2104,0,336,507,3450,272,1558,556,609,202,59,194,0,0,3450,59,294,1354,1743,3450,115,58,92,26,94,363,762,806,414,540,180,60977,0.4556,473500,3450,0,33,0,327,2353,587,150,0,0,0,3450,291,0,0,291,457,33,0,424,762,0,299,463,806,174,499,133,1134,615,519,0,0,0
"78778727","86000US78727","ZCTA5 78727","ZCTA5 78727","us","860","00","ACSSF","0037991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78727",,,,,,,,,,,,,30561,20098,2659,230,5737,0,459,1378,7166,374,3192,1666,840,325,273,363,92,41,7166,177,907,1993,4089,7166,189,111,74,137,152,532,1128,2127,1214,871,631,62101,0.3585,295200,7166,0,18,74,440,3937,2208,404,59,0,26,7166,370,0,0,370,684,0,0,684,1124,0,300,824,2127,124,1269,734,2694,1813,805,76,141,26
