"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","% Total Population: White Alone","% Total Population: Black or African American Alone","% Total Population: American Indian and Alaska Native Alone","% Total Population: Asian Alone","% Total Population: Native Hawaiian and Other Pacific Islander Alone","% Total Population: Some Other Race Alone","% Total Population: Two or More Races","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Householder 15 to 24 Years","Renter-Occupied Housing Units: Householder 25 to 34 Years","Renter-Occupied Housing Units: Householder 35 to 44 Years","Renter-Occupied Housing Units: Householder 45 to 54 Years","Renter-Occupied Housing Units: Householder 55 to 59 Years","Renter-Occupied Housing Units: Householder 60 to 64 Years","Renter-Occupied Housing Units: Householder 65 to 74 Years","Renter-Occupied Housing Units: Householder 75 to 84 Years","Renter-Occupied Housing Units: Householder 85 Years and Over","% Renter-Occupied Housing Units: Householder 15 to 24 Years","% Renter-Occupied Housing Units: Householder 25 to 34 Years","% Renter-Occupied Housing Units: Householder 35 to 44 Years","% Renter-Occupied Housing Units: Householder 45 to 54 Years","% Renter-Occupied Housing Units: Householder 55 to 59 Years","% Renter-Occupied Housing Units: Householder 60 to 64 Years","% Renter-Occupied Housing Units: Householder 65 to 74 Years","% Renter-Occupied Housing Units: Householder 75 to 84 Years","% Renter-Occupied Housing Units: Householder 85 Years and Over","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Less than High School Graduate","Renter-Occupied Housing Units: High School Graduate (Including Equivalency)","Renter-Occupied Housing Units: Some College or Associate's Degree","Renter-Occupied Housing Units: Bachelor's Degree or Higher","% Renter-Occupied Housing Units: Less than High School Graduate","% Renter-Occupied Housing Units: High School Graduate (Including Equivalency)","% Renter-Occupied Housing Units: Some College or Associate's Degree","% Renter-Occupied Housing Units: Bachelor's Degree or Higher","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Less than $5,000","Renter-Occupied Housing Units: $5,000 to $9,999","Renter-Occupied Housing Units: $10,000 to $14,999","Renter-Occupied Housing Units: $15,000 to $19,999","Renter-Occupied Housing Units: $20,000 to $24,999","Renter-Occupied Housing Units: $25,000 to $34,999","Renter-Occupied Housing Units: $35,000 to $49,999","Renter-Occupied Housing Units: $50,000 to $74,999","Renter-Occupied Housing Units: $75,000 to $99,999","Renter-Occupied Housing Units: $100,000 to $149,999","Renter-Occupied Housing Units: $150,000 or More","% Renter-Occupied Housing Units: Less than $5,000","% Renter-Occupied Housing Units: $5,000 to $9,999","% Renter-Occupied Housing Units: $10,000 to $14,999","% Renter-Occupied Housing Units: $15,000 to $19,999","% Renter-Occupied Housing Units: $20,000 to $24,999","% Renter-Occupied Housing Units: $25,000 to $34,999","% Renter-Occupied Housing Units: $35,000 to $49,999","% Renter-Occupied Housing Units: $50,000 to $74,999","% Renter-Occupied Housing Units: $75,000 to $99,999","% Renter-Occupied Housing Units: $100,000 to $149,999","% Renter-Occupied Housing Units: $150,000 or More","Median Household Income in the Past 12 Months (In 2015 Inflation-Adjusted Dollars) ","Gini Index","Median Value","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Less than $300","Renter-Occupied Housing Units: $300 to $499","Renter-Occupied Housing Units: $500 to $799","Renter-Occupied Housing Units: $800 to $999","Renter-Occupied Housing Units: $1,000 to $1,499","Renter-Occupied Housing Units: $1,500 to $1,999","Renter-Occupied Housing Units: $2,000 to $2,499","Renter-Occupied Housing Units: $2,500 to $2,999","Renter-Occupied Housing Units: $3,000 or More","Renter-Occupied Housing Units: No Cash Rent","% Renter-Occupied Housing Units: Less than $300","% Renter-Occupied Housing Units: $300 to $499","% Renter-Occupied Housing Units: $500 to $799","% Renter-Occupied Housing Units: $800 to $999","% Renter-Occupied Housing Units: $1,000 to $1,499","% Renter-Occupied Housing Units: $1,500 to $1,999","% Renter-Occupied Housing Units: $2,000 to $2,499","% Renter-Occupied Housing Units: $2,500 to $2,999","% Renter-Occupied Housing Units: $3,000 or More","% Renter-Occupied Housing Units: No Cash Rent","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Less than $20,000","Renter-Occupied Housing Units: Less than $20,000: Less than 20 Percent","Renter-Occupied Housing Units: Less than $20,000: 20 to 29 Percent","Renter-Occupied Housing Units: Less than $20,000: 30 Percent or More","Renter-Occupied Housing Units: $20,000 to $34,999","Renter-Occupied Housing Units: $20,000 to $34,999: Less than 20 Percent","Renter-Occupied Housing Units: $20,000 to $34,999: 20 to 29 Percent","Renter-Occupied Housing Units: $20,000 to $34,999: 30 Percent or More","Renter-Occupied Housing Units: $35,000 to $49,999","Renter-Occupied Housing Units: $35,000 to $49,999: Less than 20 Percent","Renter-Occupied Housing Units: $35,000 to $49,999: 20 to 29 Percent","Renter-Occupied Housing Units: $35,000 to $49,999: 30 Percent or More","Renter-Occupied Housing Units: $50,000 to $74,999","Renter-Occupied Housing Units: $50,000 to $74,999: Less than 20 Percent","Renter-Occupied Housing Units: $50,000 to $74,999: 20 to 29 Percent","Renter-Occupied Housing Units: $50,000 to $74,999: 30 Percent or More","Renter-Occupied Housing Units: $75,000 or More","Renter-Occupied Housing Units: $75,000 or More: Less than 20 Percent","Renter-Occupied Housing Units: $75,000 or More: 20 to 29 Percent","Renter-Occupied Housing Units: $75,000 or More: 30 Percent or More","Renter-Occupied Housing Units: Zero or Negative Income","Renter-Occupied Housing Units: No Cash Rent","% Renter-Occupied Housing Units: Less than $20,000","% Renter-Occupied Housing Units: Less than $20,000: Less than 20 Percent","% Renter-Occupied Housing Units: Less than $20,000: 20 to 29 Percent","% Renter-Occupied Housing Units: Less than $20,000: 30 Percent or More","% Renter-Occupied Housing Units: $20,000 to $34,999","% Renter-Occupied Housing Units: $20,000 to $34,999: Less than 20 Percent","% Renter-Occupied Housing Units: $20,000 to $34,999: 20 to 29 Percent","% Renter-Occupied Housing Units: $20,000 to $34,999: 30 Percent or More","% Renter-Occupied Housing Units: $35,000 to $49,999","% Renter-Occupied Housing Units: $35,000 to $49,999: Less than 20 Percent","% Renter-Occupied Housing Units: $35,000 to $49,999: 20 to 29 Percent","% Renter-Occupied Housing Units: $35,000 to $49,999: 30 Percent or More","% Renter-Occupied Housing Units: $50,000 to $74,999","% Renter-Occupied Housing Units: $50,000 to $74,999: Less than 20 Percent","% Renter-Occupied Housing Units: $50,000 to $74,999: 20 to 29 Percent","% Renter-Occupied Housing Units: $50,000 to $74,999: 30 Percent or More","% Renter-Occupied Housing Units: $75,000 or More","% Renter-Occupied Housing Units: $75,000 or More: Less than 20 Percent","% Renter-Occupied Housing Units: $75,000 or More: 20 to 29 Percent","% Renter-Occupied Housing Units: $75,000 or More: 30 Percent or More","% Renter-Occupied Housing Units: Zero or Negative Income","% Renter-Occupied Housing Units: No Cash Rent"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A01003B_001,SE_A01003B_002,SE_A01003B_003,SE_A01003B_004,SE_A01003B_005,SE_A01003B_006,SE_A01003B_007,SE_A01003B_008,SE_A01003B_009,SE_A01003B_010,PCT_SE_A01003B_002,PCT_SE_A01003B_003,PCT_SE_A01003B_004,PCT_SE_A01003B_005,PCT_SE_A01003B_006,PCT_SE_A01003B_007,PCT_SE_A01003B_008,PCT_SE_A01003B_009,PCT_SE_A01003B_010,SE_A12005B_001,SE_A12005B_002,SE_A12005B_003,SE_A12005B_004,SE_A12005B_005,PCT_SE_A12005B_002,PCT_SE_A12005B_003,PCT_SE_A12005B_004,PCT_SE_A12005B_005,SE_A14003B_001,SE_A14003B_002,SE_A14003B_003,SE_A14003B_004,SE_A14003B_005,SE_A14003B_006,SE_A14003B_007,SE_A14003B_008,SE_A14003B_009,SE_A14003B_010,SE_A14003B_011,SE_A14003B_012,PCT_SE_A14003B_002,PCT_SE_A14003B_003,PCT_SE_A14003B_004,PCT_SE_A14003B_005,PCT_SE_A14003B_006,PCT_SE_A14003B_007,PCT_SE_A14003B_008,PCT_SE_A14003B_009,PCT_SE_A14003B_010,PCT_SE_A14003B_011,PCT_SE_A14003B_012,SE_A14016_001,SE_A14028_001,SE_A10036_001,SE_A10038_001,SE_A10038_002,SE_A10038_003,SE_A10038_004,SE_A10038_005,SE_A10038_006,SE_A10038_007,SE_A10038_008,SE_A10038_009,SE_A10038_010,SE_A10038_011,PCT_SE_A10038_002,PCT_SE_A10038_003,PCT_SE_A10038_004,PCT_SE_A10038_005,PCT_SE_A10038_006,PCT_SE_A10038_007,PCT_SE_A10038_008,PCT_SE_A10038_009,PCT_SE_A10038_010,PCT_SE_A10038_011,SE_A10039B_001,SE_A10039B_002,SE_A10039B_003,SE_A10039B_004,SE_A10039B_005,SE_A10039B_006,SE_A10039B_007,SE_A10039B_008,SE_A10039B_009,SE_A10039B_010,SE_A10039B_011,SE_A10039B_012,SE_A10039B_013,SE_A10039B_014,SE_A10039B_015,SE_A10039B_016,SE_A10039B_017,SE_A10039B_018,SE_A10039B_019,SE_A10039B_020,SE_A10039B_021,SE_A10039B_022,SE_A10039B_023,PCT_SE_A10039B_002,PCT_SE_A10039B_003,PCT_SE_A10039B_004,PCT_SE_A10039B_005,PCT_SE_A10039B_006,PCT_SE_A10039B_007,PCT_SE_A10039B_008,PCT_SE_A10039B_009,PCT_SE_A10039B_010,PCT_SE_A10039B_011,PCT_SE_A10039B_012,PCT_SE_A10039B_013,PCT_SE_A10039B_014,PCT_SE_A10039B_015,PCT_SE_A10039B_016,PCT_SE_A10039B_017,PCT_SE_A10039B_018,PCT_SE_A10039B_019,PCT_SE_A10039B_020,PCT_SE_A10039B_021,PCT_SE_A10039B_022,PCT_SE_A10039B_023
"78778701","86000US78701","78701 ZCTA5","78701 ZCTA5","us","860","00","ACSSF","0037862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78701",,,,,,,,,,,,,7051,5708,265,13,666,15,111,273,80.95,3.76,0.18,9.45,0.21,1.57,3.87,2733,310,1671,300,189,74,57,96,17,19,11.34,61.14,10.98,6.92,2.71,2.09,3.51,0.62,0.7,2733,41,84,387,2221,1.5,3.07,14.16,81.27,2733,107,59,103,88,49,160,291,387,346,425,718,3.92,2.16,3.77,3.22,1.79,5.85,10.65,14.16,12.66,15.55,26.27,80907,0.5194,440100,2733,66,9,151,107,507,953,366,203,279,92,2.41,0.33,5.53,3.92,18.55,34.87,13.39,7.43,10.21,3.37,2733,285,0,9,276,209,0,20,189,277,44,67,166,387,30,144,213,1457,808,530,119,26,92,10.43,0,0.33,10.1,7.65,0,0.73,6.92,10.14,1.61,2.45,6.07,14.16,1.1,5.27,7.79,53.31,29.56,19.39,4.35,0.95,3.37
"78778702","86000US78702","78702 ZCTA5","78702 ZCTA5","us","860","00","ACSSF","0037863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78702",,,,,,,,,,,,,21477,15111,2926,99,476,0,2165,700,70.36,13.62,0.46,2.22,0,10.08,3.26,4464,314,1678,937,573,230,236,248,161,87,7.03,37.59,20.99,12.84,5.15,5.29,5.56,3.61,1.95,4464,1113,874,1105,1372,24.93,19.58,24.75,30.73,4464,382,693,295,349,412,348,524,729,306,260,166,8.56,15.52,6.61,7.82,9.23,7.8,11.74,16.33,6.85,5.82,3.72,26898,0.4969,235400,4464,721,407,758,502,1128,512,216,36,6,178,16.15,9.12,16.98,11.25,25.27,11.47,4.84,0.81,0.13,3.99,4464,1554,97,322,1135,739,44,64,631,516,72,172,272,687,186,373,128,680,375,275,30,110,178,34.81,2.17,7.21,25.43,16.55,0.99,1.43,14.14,11.56,1.61,3.85,6.09,15.39,4.17,8.36,2.87,15.23,8.4,6.16,0.67,2.46,3.99
"78778703","86000US78703","78703 ZCTA5","78703 ZCTA5","us","860","00","ACSSF","0037864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78703",,,,,,,,,,,,,20530,18006,307,144,1335,0,220,518,87.71,1.5,0.7,6.5,0,1.07,2.52,4808,261,2337,1242,429,132,191,114,88,14,5.43,48.61,25.83,8.92,2.75,3.97,2.37,1.83,0.29,4808,91,142,766,3809,1.89,2.95,15.93,79.22,4808,254,148,164,233,249,440,713,1009,427,477,694,5.28,3.08,3.41,4.85,5.18,9.15,14.83,20.99,8.88,9.92,14.43,55000,0.5405,704700,4808,25,43,941,490,1249,990,502,280,166,122,0.52,0.89,19.57,10.19,25.98,20.59,10.44,5.82,3.45,2.54,4808,621,0,0,621,675,16,146,513,713,73,305,335,988,186,411,391,1554,956,476,122,135,122,12.92,0,0,12.92,14.04,0.33,3.04,10.67,14.83,1.52,6.34,6.97,20.55,3.87,8.55,8.13,32.32,19.88,9.9,2.54,2.81,2.54
"78778704","86000US78704","78704 ZCTA5","78704 ZCTA5","us","860","00","ACSSF","0037865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78704",,,,,,,,,,,,,44668,40277,1305,226,1170,0,506,1184,90.17,2.92,0.51,2.62,0,1.13,2.65,14404,1625,6852,2776,1446,582,581,356,129,57,11.28,47.57,19.27,10.04,4.04,4.03,2.47,0.9,0.4,14404,726,1470,4072,8136,5.04,10.21,28.27,56.48,14404,924,528,795,611,934,1814,2423,2997,1782,1113,483,6.41,3.67,5.52,4.24,6.48,12.59,16.82,20.81,12.37,7.73,3.35,43951,0.4798,385700,14404,433,426,1907,3139,5468,1966,507,153,108,297,3.01,2.96,13.24,21.79,37.96,13.65,3.52,1.06,0.75,2.06,14404,2468,0,151,2317,2705,60,282,2363,2381,121,841,1419,2958,806,1577,575,3332,2381,784,167,263,297,17.13,0,1.05,16.09,18.78,0.42,1.96,16.41,16.53,0.84,5.84,9.85,20.54,5.6,10.95,3.99,23.13,16.53,5.44,1.16,1.83,2.06
"78778705","86000US78705","78705 ZCTA5","78705 ZCTA5","us","860","00","ACSSF","0037866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78705",,,,,,,,,,,,,32346,24055,1667,132,4607,3,880,1002,74.37,5.15,0.41,14.24,0.01,2.72,3.1,7733,4882,2032,443,183,42,86,47,18,0,63.13,26.28,5.73,2.37,0.54,1.11,0.61,0.23,0,7733,25,547,4212,2949,0.32,7.07,54.47,38.14,7733,2215,1331,1097,495,546,492,653,498,272,100,34,28.64,17.21,14.19,6.4,7.06,6.36,8.44,6.44,3.52,1.29,0.44,11119,0.6909,385600,7733,72,39,1133,1973,2191,1129,785,111,188,112,0.93,0.5,14.65,25.51,28.33,14.6,10.15,1.44,2.43,1.45,7733,4088,7,65,4016,1024,0,31,993,625,21,335,269,498,195,153,150,377,203,167,7,1009,112,52.86,0.09,0.84,51.93,13.24,0,0.4,12.84,8.08,0.27,4.33,3.48,6.44,2.52,1.98,1.94,4.88,2.63,2.16,0.09,13.05,1.45
"78778712","86000US78712","78712 ZCTA5","78712 ZCTA5","us","860","00","ACSSF","0037867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78712",,,,,,,,,,,,,828,590,93,9,46,0,54,36,71.26,11.23,1.09,5.56,0,6.52,4.35,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"78778717","86000US78717","78717 ZCTA5","78717 ZCTA5","us","860","00","ACSSF","0037868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78717",,,,,,,,,,,,,26072,18540,900,13,5320,0,311,988,71.11,3.45,0.05,20.41,0,1.19,3.79,3418,260,1304,730,510,131,236,136,63,48,7.61,38.15,21.36,14.92,3.83,6.9,3.98,1.84,1.4,3418,30,480,1341,1567,0.88,14.04,39.23,45.85,3418,18,0,44,104,172,323,733,893,555,501,75,0.53,0,1.29,3.04,5.03,9.45,21.45,26.13,16.24,14.66,2.19,54044,0.371,273200,3418,0,0,101,1212,1543,343,207,0,12,0,0,0,2.95,35.46,45.14,10.04,6.06,0,0.35,0,3418,166,0,0,166,495,0,25,470,733,0,406,327,893,109,588,196,1131,910,170,51,0,0,4.86,0,0,4.86,14.48,0,0.73,13.75,21.45,0,11.88,9.57,26.13,3.19,17.2,5.73,33.09,26.62,4.97,1.49,0,0
"78778719","86000US78719","78719 ZCTA5","78719 ZCTA5","us","860","00","ACSSF","0037869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78719",,,,,,,,,,,,,1485,1221,0,0,3,0,226,35,82.22,0,0,0.2,0,15.22,2.36,60,10,11,6,0,17,8,8,0,0,16.67,18.33,10,0,28.33,13.33,13.33,0,0,60,33,0,27,0,55,0,45,0,60,0,18,8,11,3,0,9,5,0,6,0,0,30,13.33,18.33,5,0,15,8.33,0,10,0,,0.3564,113300,60,10,11,0,21,7,0,0,0,0,11,16.67,18.33,0,35,11.67,0,0,0,0,18.33,60,37,0,0,37,3,0,3,0,9,0,9,0,0,0,0,0,0,0,0,0,0,11,61.67,0,0,61.67,5,0,5,0,15,0,15,0,0,0,0,0,0,0,0,0,0,18.33
"78778721","86000US78721","78721 ZCTA5","78721 ZCTA5","us","860","00","ACSSF","0037870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78721",,,,,,,,,,,,,12508,6671,3843,242,147,25,1214,366,53.33,30.72,1.93,1.18,0.2,9.71,2.93,2027,180,585,417,231,185,168,137,85,39,8.88,28.86,20.57,11.4,9.13,8.29,6.76,4.19,1.92,2027,656,562,540,269,32.36,27.73,26.64,13.27,2027,236,257,311,168,37,255,340,256,118,40,9,11.64,12.68,15.34,8.29,1.83,12.58,16.77,12.63,5.82,1.97,0.44,25124,0.4901,156800,2027,82,226,456,478,526,181,0,0,0,78,4.05,11.15,22.5,23.58,25.95,8.93,0,0,0,3.85,2027,776,6,49,721,275,41,40,194,330,48,179,103,256,53,150,53,167,105,62,0,145,78,38.28,0.3,2.42,35.57,13.57,2.02,1.97,9.57,16.28,2.37,8.83,5.08,12.63,2.61,7.4,2.61,8.24,5.18,3.06,0,7.15,3.85
