"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","% Total Population: White Alone","% Total Population: Black or African American Alone","% Total Population: American Indian and Alaska Native Alone","% Total Population: Asian Alone","% Total Population: Native Hawaiian and Other Pacific Islander Alone","% Total Population: Some Other Race Alone","% Total Population: Two or More Races","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Householder 15 to 24 Years","Renter-Occupied Housing Units: Householder 25 to 34 Years","Renter-Occupied Housing Units: Householder 35 to 44 Years","Renter-Occupied Housing Units: Householder 45 to 54 Years","Renter-Occupied Housing Units: Householder 55 to 59 Years","Renter-Occupied Housing Units: Householder 60 to 64 Years","Renter-Occupied Housing Units: Householder 65 to 74 Years","Renter-Occupied Housing Units: Householder 75 to 84 Years","Renter-Occupied Housing Units: Householder 85 Years and Over","% Renter-Occupied Housing Units: Householder 15 to 24 Years","% Renter-Occupied Housing Units: Householder 25 to 34 Years","% Renter-Occupied Housing Units: Householder 35 to 44 Years","% Renter-Occupied Housing Units: Householder 45 to 54 Years","% Renter-Occupied Housing Units: Householder 55 to 59 Years","% Renter-Occupied Housing Units: Householder 60 to 64 Years","% Renter-Occupied Housing Units: Householder 65 to 74 Years","% Renter-Occupied Housing Units: Householder 75 to 84 Years","% Renter-Occupied Housing Units: Householder 85 Years and Over","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Less than High School Graduate","Renter-Occupied Housing Units: High School Graduate (Including Equivalency)","Renter-Occupied Housing Units: Some College or Associate's Degree","Renter-Occupied Housing Units: Bachelor's Degree or Higher","% Renter-Occupied Housing Units: Less than High School Graduate","% Renter-Occupied Housing Units: High School Graduate (Including Equivalency)","% Renter-Occupied Housing Units: Some College or Associate's Degree","% Renter-Occupied Housing Units: Bachelor's Degree or Higher","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Less than $5,000","Renter-Occupied Housing Units: $5,000 to $9,999","Renter-Occupied Housing Units: $10,000 to $14,999","Renter-Occupied Housing Units: $15,000 to $19,999","Renter-Occupied Housing Units: $20,000 to $24,999","Renter-Occupied Housing Units: $25,000 to $34,999","Renter-Occupied Housing Units: $35,000 to $49,999","Renter-Occupied Housing Units: $50,000 to $74,999","Renter-Occupied Housing Units: $75,000 to $99,999","Renter-Occupied Housing Units: $100,000 to $149,999","Renter-Occupied Housing Units: $150,000 or More","% Renter-Occupied Housing Units: Less than $5,000","% Renter-Occupied Housing Units: $5,000 to $9,999","% Renter-Occupied Housing Units: $10,000 to $14,999","% Renter-Occupied Housing Units: $15,000 to $19,999","% Renter-Occupied Housing Units: $20,000 to $24,999","% Renter-Occupied Housing Units: $25,000 to $34,999","% Renter-Occupied Housing Units: $35,000 to $49,999","% Renter-Occupied Housing Units: $50,000 to $74,999","% Renter-Occupied Housing Units: $75,000 to $99,999","% Renter-Occupied Housing Units: $100,000 to $149,999","% Renter-Occupied Housing Units: $150,000 or More","Median Household Income in the Past 12 Months (In Inflation-Adjusted Dollars) ","Gini Index","Median Value","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Less than $300","Renter-Occupied Housing Units: $300 to $499","Renter-Occupied Housing Units: $500 to $799","Renter-Occupied Housing Units: $800 to $999","Renter-Occupied Housing Units: $1,000 to $1,499","Renter-Occupied Housing Units: $1,500 to $1,999","Renter-Occupied Housing Units: $2,000 to $2,499","Renter-Occupied Housing Units: $2,500 to $2,999","Renter-Occupied Housing Units: $3,000 or More","Renter-Occupied Housing Units: No Cash Rent","% Renter-Occupied Housing Units: Less than $300","% Renter-Occupied Housing Units: $300 to $499","% Renter-Occupied Housing Units: $500 to $799","% Renter-Occupied Housing Units: $800 to $999","% Renter-Occupied Housing Units: $1,000 to $1,499","% Renter-Occupied Housing Units: $1,500 to $1,999","% Renter-Occupied Housing Units: $2,000 to $2,499","% Renter-Occupied Housing Units: $2,500 to $2,999","% Renter-Occupied Housing Units: $3,000 or More","% Renter-Occupied Housing Units: No Cash Rent","Renter-Occupied Housing Units","Renter-Occupied Housing Units: Less than $20,000","Renter-Occupied Housing Units: Less than $20,000: Less than 20 Percent","Renter-Occupied Housing Units: Less than $20,000: 20 to 29 Percent","Renter-Occupied Housing Units: Less than $20,000: 30 Percent or More","Renter-Occupied Housing Units: $20,000 to $34,999","Renter-Occupied Housing Units: $20,000 to $34,999: Less than 20 Percent","Renter-Occupied Housing Units: $20,000 to $34,999: 20 to 29 Percent","Renter-Occupied Housing Units: $20,000 to $34,999: 30 Percent or More","Renter-Occupied Housing Units: $35,000 to $49,999","Renter-Occupied Housing Units: $35,000 to $49,999: Less than 20 Percent","Renter-Occupied Housing Units: $35,000 to $49,999: 20 to 29 Percent","Renter-Occupied Housing Units: $35,000 to $49,999: 30 Percent or More","Renter-Occupied Housing Units: $50,000 to $74,999","Renter-Occupied Housing Units: $50,000 to $74,999: Less than 20 Percent","Renter-Occupied Housing Units: $50,000 to $74,999: 20 to 29 Percent","Renter-Occupied Housing Units: $50,000 to $74,999: 30 Percent or More","Renter-Occupied Housing Units: $75,000 or More","Renter-Occupied Housing Units: $75,000 or More: Less than 20 Percent","Renter-Occupied Housing Units: $75,000 or More: 20 to 29 Percent","Renter-Occupied Housing Units: $75,000 or More: 30 Percent or More","Renter-Occupied Housing Units: Zero or Negative Income","Renter-Occupied Housing Units: No Cash Rent","% Renter-Occupied Housing Units: Less than $20,000","% Renter-Occupied Housing Units: Less than $20,000: Less than 20 Percent","% Renter-Occupied Housing Units: Less than $20,000: 20 to 29 Percent","% Renter-Occupied Housing Units: Less than $20,000: 30 Percent or More","% Renter-Occupied Housing Units: $20,000 to $34,999","% Renter-Occupied Housing Units: $20,000 to $34,999: Less than 20 Percent","% Renter-Occupied Housing Units: $20,000 to $34,999: 20 to 29 Percent","% Renter-Occupied Housing Units: $20,000 to $34,999: 30 Percent or More","% Renter-Occupied Housing Units: $35,000 to $49,999","% Renter-Occupied Housing Units: $35,000 to $49,999: Less than 20 Percent","% Renter-Occupied Housing Units: $35,000 to $49,999: 20 to 29 Percent","% Renter-Occupied Housing Units: $35,000 to $49,999: 30 Percent or More","% Renter-Occupied Housing Units: $50,000 to $74,999","% Renter-Occupied Housing Units: $50,000 to $74,999: Less than 20 Percent","% Renter-Occupied Housing Units: $50,000 to $74,999: 20 to 29 Percent","% Renter-Occupied Housing Units: $50,000 to $74,999: 30 Percent or More","% Renter-Occupied Housing Units: $75,000 or More","% Renter-Occupied Housing Units: $75,000 or More: Less than 20 Percent","% Renter-Occupied Housing Units: $75,000 or More: 20 to 29 Percent","% Renter-Occupied Housing Units: $75,000 or More: 30 Percent or More","% Renter-Occupied Housing Units: Zero or Negative Income","% Renter-Occupied Housing Units: No Cash Rent"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A01003B_001,SE_A01003B_002,SE_A01003B_003,SE_A01003B_004,SE_A01003B_005,SE_A01003B_006,SE_A01003B_007,SE_A01003B_008,SE_A01003B_009,SE_A01003B_010,PCT_SE_A01003B_002,PCT_SE_A01003B_003,PCT_SE_A01003B_004,PCT_SE_A01003B_005,PCT_SE_A01003B_006,PCT_SE_A01003B_007,PCT_SE_A01003B_008,PCT_SE_A01003B_009,PCT_SE_A01003B_010,SE_A12005B_001,SE_A12005B_002,SE_A12005B_003,SE_A12005B_004,SE_A12005B_005,PCT_SE_A12005B_002,PCT_SE_A12005B_003,PCT_SE_A12005B_004,PCT_SE_A12005B_005,SE_A14003B_001,SE_A14003B_002,SE_A14003B_003,SE_A14003B_004,SE_A14003B_005,SE_A14003B_006,SE_A14003B_007,SE_A14003B_008,SE_A14003B_009,SE_A14003B_010,SE_A14003B_011,SE_A14003B_012,PCT_SE_A14003B_002,PCT_SE_A14003B_003,PCT_SE_A14003B_004,PCT_SE_A14003B_005,PCT_SE_A14003B_006,PCT_SE_A14003B_007,PCT_SE_A14003B_008,PCT_SE_A14003B_009,PCT_SE_A14003B_010,PCT_SE_A14003B_011,PCT_SE_A14003B_012,SE_A14016_001,SE_A14028_001,SE_A10036_001,SE_A10038_001,SE_A10038_002,SE_A10038_003,SE_A10038_004,SE_A10038_005,SE_A10038_006,SE_A10038_007,SE_A10038_008,SE_A10038_009,SE_A10038_010,SE_A10038_011,PCT_SE_A10038_002,PCT_SE_A10038_003,PCT_SE_A10038_004,PCT_SE_A10038_005,PCT_SE_A10038_006,PCT_SE_A10038_007,PCT_SE_A10038_008,PCT_SE_A10038_009,PCT_SE_A10038_010,PCT_SE_A10038_011,SE_A10039B_001,SE_A10039B_002,SE_A10039B_003,SE_A10039B_004,SE_A10039B_005,SE_A10039B_006,SE_A10039B_007,SE_A10039B_008,SE_A10039B_009,SE_A10039B_010,SE_A10039B_011,SE_A10039B_012,SE_A10039B_013,SE_A10039B_014,SE_A10039B_015,SE_A10039B_016,SE_A10039B_017,SE_A10039B_018,SE_A10039B_019,SE_A10039B_020,SE_A10039B_021,SE_A10039B_022,SE_A10039B_023,PCT_SE_A10039B_002,PCT_SE_A10039B_003,PCT_SE_A10039B_004,PCT_SE_A10039B_005,PCT_SE_A10039B_006,PCT_SE_A10039B_007,PCT_SE_A10039B_008,PCT_SE_A10039B_009,PCT_SE_A10039B_010,PCT_SE_A10039B_011,PCT_SE_A10039B_012,PCT_SE_A10039B_013,PCT_SE_A10039B_014,PCT_SE_A10039B_015,PCT_SE_A10039B_016,PCT_SE_A10039B_017,PCT_SE_A10039B_018,PCT_SE_A10039B_019,PCT_SE_A10039B_020,PCT_SE_A10039B_021,PCT_SE_A10039B_022,PCT_SE_A10039B_023
"78778701","86000US78701","78701 ZCTA5","78701 ZCTA5","us","860","00","ACSSF","0037921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78701",,,,,,,,,,,,,7401,6192,227,17,624,17,91,233,83.66,3.07,0.23,8.43,0.23,1.23,3.15,2690,262,1499,440,172,92,77,96,31,21,9.74,55.72,16.36,6.39,3.42,2.86,3.57,1.15,0.78,2690,36,117,488,2049,1.34,4.35,18.14,76.17,2690,92,67,70,108,75,119,288,486,324,463,598,3.42,2.49,2.6,4.01,2.79,4.42,10.71,18.07,12.04,17.21,22.23,77273,0.5412,447100,2690,101,0,115,139,500,940,353,173,269,100,3.75,0,4.28,5.17,18.59,34.94,13.12,6.43,10,3.72,2690,249,21,0,228,194,0,21,173,288,23,56,209,469,28,130,311,1334,720,481,133,56,100,9.26,0.78,0,8.48,7.21,0,0.78,6.43,10.71,0.86,2.08,7.77,17.43,1.04,4.83,11.56,49.59,26.77,17.88,4.94,2.08,3.72
"78778702","86000US78702","78702 ZCTA5","78702 ZCTA5","us","860","00","ACSSF","0037922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78702",,,,,,,,,,,,,22617,16413,3034,46,415,0,1821,888,72.57,13.41,0.2,1.83,0,8.05,3.93,4782,266,1840,1032,571,299,186,335,157,96,5.56,38.48,21.58,11.94,6.25,3.89,7.01,3.28,2.01,4782,1032,995,1179,1576,21.58,20.81,24.65,32.96,4782,335,513,351,332,442,404,595,708,377,477,248,7.01,10.73,7.34,6.94,9.24,8.45,12.44,14.81,7.88,9.97,5.19,35263,0.488,251000,4782,654,452,735,494,1277,619,337,42,5,167,13.68,9.45,15.37,10.33,26.7,12.94,7.05,0.88,0.1,3.49,4782,1351,38,306,1007,816,73,100,643,585,79,221,285,696,222,360,114,1051,660,354,37,116,167,28.25,0.79,6.4,21.06,17.06,1.53,2.09,13.45,12.23,1.65,4.62,5.96,14.55,4.64,7.53,2.38,21.98,13.8,7.4,0.77,2.43,3.49
"78778703","86000US78703","78703 ZCTA5","78703 ZCTA5","us","860","00","ACSSF","0037923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78703",,,,,,,,,,,,,20815,18414,254,57,1482,0,233,375,88.47,1.22,0.27,7.12,0,1.12,1.8,4989,263,2371,1241,472,173,230,121,95,23,5.27,47.52,24.87,9.46,3.47,4.61,2.43,1.9,0.46,4989,119,139,827,3904,2.39,2.79,16.58,78.25,4989,330,140,129,255,290,365,763,947,449,545,776,6.61,2.81,2.59,5.11,5.81,7.32,15.29,18.98,9,10.92,15.55,55953,0.557,735000,4989,26,32,897,427,1217,1096,482,329,286,197,0.52,0.64,17.98,8.56,24.39,21.97,9.66,6.59,5.73,3.95,4989,636,0,0,636,639,17,110,512,735,72,281,382,921,172,416,333,1716,1052,531,133,145,197,12.75,0,0,12.75,12.81,0.34,2.2,10.26,14.73,1.44,5.63,7.66,18.46,3.45,8.34,6.67,34.4,21.09,10.64,2.67,2.91,3.95
"78778704","86000US78704","78704 ZCTA5","78704 ZCTA5","us","860","00","ACSSF","0037924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78704",,,,,,,,,,,,,46474,41970,1233,249,1256,33,472,1261,90.31,2.65,0.54,2.7,0.07,1.02,2.71,14757,1547,7190,2790,1490,620,525,400,138,57,10.48,48.72,18.91,10.1,4.2,3.56,2.71,0.94,0.39,14757,734,1395,4006,8622,4.97,9.45,27.15,58.43,14757,786,585,694,636,846,1882,2134,3355,1684,1424,731,5.33,3.96,4.7,4.31,5.73,12.75,14.46,22.73,11.41,9.65,4.95,47845,0.4812,421800,14757,432,412,1349,2755,5646,2724,831,153,126,329,2.93,2.79,9.14,18.67,38.26,18.46,5.63,1.04,0.85,2.23,14757,2305,0,136,2169,2695,49,241,2405,2087,49,642,1396,3276,734,1737,805,3794,2599,917,278,271,329,15.62,0,0.92,14.7,18.26,0.33,1.63,16.3,14.14,0.33,4.35,9.46,22.2,4.97,11.77,5.46,25.71,17.61,6.21,1.88,1.84,2.23
"78778705","86000US78705","78705 ZCTA5","78705 ZCTA5","us","860","00","ACSSF","0037925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78705",,,,,,,,,,,,,32414,23811,2064,99,4559,10,741,1130,73.46,6.37,0.31,14.06,0.03,2.29,3.49,7430,4592,2065,360,205,36,88,72,12,0,61.8,27.79,4.85,2.76,0.48,1.18,0.97,0.16,0,7430,30,429,3990,2981,0.4,5.77,53.7,40.12,7430,2045,1205,1037,497,471,458,630,624,245,166,52,27.52,16.22,13.96,6.69,6.34,6.16,8.48,8.4,3.3,2.23,0.7,11697,0.6971,432800,7430,72,39,900,1904,2079,1148,834,139,157,158,0.97,0.52,12.11,25.63,27.98,15.45,11.22,1.87,2.11,2.13,7430,3756,6,76,3674,916,0,29,887,603,13,270,320,624,163,217,244,424,230,165,29,949,158,50.55,0.08,1.02,49.45,12.33,0,0.39,11.94,8.12,0.17,3.63,4.31,8.4,2.19,2.92,3.28,5.71,3.1,2.22,0.39,12.77,2.13
"78778712","86000US78712","78712 ZCTA5","78712 ZCTA5","us","860","00","ACSSF","0037926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78712",,,,,,,,,,,,,848,586,136,9,40,0,29,48,69.1,16.04,1.06,4.72,0,3.42,5.66,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"78778717","86000US78717","78717 ZCTA5","78717 ZCTA5","us","860","00","ACSSF","0037927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78717",,,,,,,,,,,,,27101,19147,825,146,5761,31,387,804,70.65,3.04,0.54,21.26,0.11,1.43,2.97,3402,300,1255,741,458,142,233,148,68,57,8.82,36.89,21.78,13.46,4.17,6.85,4.35,2,1.68,3402,31,425,1199,1747,0.91,12.49,35.24,51.35,3402,12,18,71,88,128,244,835,877,441,525,163,0.35,0.53,2.09,2.59,3.76,7.17,24.54,25.78,12.96,15.43,4.79,56667,0.3727,286400,3402,0,0,95,813,1765,500,198,15,16,0,0,0,2.79,23.9,51.88,14.7,5.82,0.44,0.47,0,3402,189,0,0,189,372,0,25,347,835,0,351,484,877,113,568,196,1129,872,241,16,0,0,5.56,0,0,5.56,10.93,0,0.73,10.2,24.54,0,10.32,14.23,25.78,3.32,16.7,5.76,33.19,25.63,7.08,0.47,0,0
"78778719","86000US78719","78719 ZCTA5","78719 ZCTA5","us","860","00","ACSSF","0037928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78719",,,,,,,,,,,,,1762,1456,42,0,6,0,234,24,82.63,2.38,0,0.34,0,13.28,1.36,98,11,14,6,18,23,14,12,0,0,11.22,14.29,6.12,18.37,23.47,14.29,12.24,0,0,98,67,0,31,0,68.37,0,31.63,0,98,0,27,5,14,6,18,7,15,0,6,0,0,27.55,5.1,14.29,6.12,18.37,7.14,15.31,0,6.12,0,21250,0.3637,121200,98,4,18,0,39,5,0,0,0,0,32,4.08,18.37,0,39.8,5.1,0,0,0,0,32.65,98,46,0,0,46,6,0,6,0,7,0,7,0,7,7,0,0,0,0,0,0,0,32,46.94,0,0,46.94,6.12,0,6.12,0,7.14,0,7.14,0,7.14,7.14,0,0,0,0,0,0,0,32.65
"78778721","86000US78721","78721 ZCTA5","78721 ZCTA5","us","860","00","ACSSF","0037929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"787","78721",,,,,,,,,,,,,12153,6848,3749,115,184,0,843,414,56.35,30.85,0.95,1.51,0,6.94,3.41,1953,180,566,460,253,189,134,86,57,28,9.22,28.98,23.55,12.95,9.68,6.86,4.4,2.92,1.43,1953,518,517,585,333,26.52,26.47,29.95,17.05,1953,272,179,221,149,77,309,222,233,184,86,21,13.93,9.17,11.32,7.63,3.94,15.82,11.37,11.93,9.42,4.4,1.08,26924,0.4549,178100,1953,26,182,439,384,579,272,12,0,0,59,1.33,9.32,22.48,19.66,29.65,13.93,0.61,0,0,3.02,1953,655,6,9,640,371,49,62,260,222,43,130,49,233,72,113,48,291,181,110,0,122,59,33.54,0.31,0.46,32.77,19,2.51,3.17,13.31,11.37,2.2,6.66,2.51,11.93,3.69,5.79,2.46,14.9,9.27,5.63,0,6.25,3.02
